foodcode,description
53215500,"Cookie, coconut"
53225000,"Cookie, macaroon"
53228000,"Cookie, meringue"
53720100,Nutrition bar (Balance Original Bar)
53720500,Nutrition bar (Snickers Marathon Protein Bar)
56116990,"Long rice noodles, made from mung beans, cooked"
58103200,"Tamale, plain, meatless, no sauce, Puerto Rican style or Carribean Style"
58103210,"Tamale, meatless, with sauce, Puerto Rican or Caribbean style"
58175000,"Vada, fried dumpling"
58402020,"Beef dumpling soup, home recipe, canned or ready-to-serve"
58402030,"Beef rice soup, home recipe, canned or ready-to-serve"
58403100,"Noodle and potato soup, Puerto Rican style"
