diet_pattern,food_group,outcome,impact_median_day,impact_median_year
Med,leg_tot,Cancer (cases),NA,2808.07095930982
Med,leg_tot,CED (mJ),0.0713489498052653,26.042366678921834
Med,leg_tot,CVD (deaths),NA,9893.13840012968
Med,leg_tot,Food_price ($),0.082799094385694,30.221669450778307
Med,leg_tot,GHG (kgCO2eq),0.0122697140868125,4.478445641686562
Med,leg_tot,WATER (litereq),14.5210384159565,5300.179021824122
Med,oil,BLUEWATER (L),-0.282082414077568,-102.96008113831232
Med,oil,CED (mJ),-0.00909359517018428,-3.3191622371172618
Med,oil,Food_price ($),-0.00699579478681103,-2.553465097186026
Med,oil,GHG (kgCO2eq),-0.00111145854734809,-0.4056823697820529
Med,oil,WATER (litereq),-0.788448611936654,-287.78374335687874
Med,pf_egg,BLUEWATER (L),-3.74997164843137,-1368.73965167745
Med,pf_egg,CED (mJ),-0.191697712348976,-69.96966500737624
Med,pf_egg,Food_price ($),-0.233031270895257,-85.0564138767688
Med,pf_egg,GHG (kgCO2eq),-0.0312865259787715,-11.419581982251596
Med,pf_egg,WATER (litereq),-8.6051298517256,-3140.872395879844
Med,pf_ns,BLUEWATER (L),-8.62798027518692,-3149.2128004432257
Med,pf_ns,Cancer (cases),NA,80.8919030574992
Med,pf_ns,CED (mJ),-0.0210057519106664,-7.667099447393236
Med,pf_ns,CVD (deaths),NA,5106.97662480966
Med,pf_ns,Food_price ($),-0.0300254194723066,-10.95927810739191
Med,pf_ns,GHG (kgCO2eq),-0.00376706712516474,-1.37497950068513
Med,pf_ns,WATER (litereq),-49.6000703040686,-18104.02566098504
Med,pf_pm,BLUEWATER (L),0,0
Med,pf_pm,Cancer (cases),NA,3983.37567018598
Med,pf_pm,CED (mJ),0,0
Med,pf_pm,CVD (deaths),NA,21506.2753686045
Med,pf_pm,Food_price ($),-0.173924259921908,-63.48235487149642
Med,pf_pm,GHG (kgCO2eq),0,0
Med,pf_pm,WATER (litereq),0,0
Med,pf_poultry,BLUEWATER (L),0,0
Med,pf_poultry,CED (mJ),0,0
Med,pf_poultry,Food_price ($),-0.364650387760229,-133.09739153248358
Med,pf_poultry,GHG (kgCO2eq),0,0
Med,pf_poultry,WATER (litereq),0,0
Med,pf_poultry_tot,BLUEWATER (L),-11.7771868863515,-4298.673213518297
Med,pf_poultry_tot,CED (mJ),-0.367938424969772,-134.2975251139668
Med,pf_poultry_tot,Food_price ($),0,0
Med,pf_poultry_tot,GHG (kgCO2eq),-0.0533948765425554,-19.48912993803272
Med,pf_poultry_tot,WATER (litereq),-25.2847816239152,-9228.945292729048
Med,pf_redm,BLUEWATER (L),0,0
Med,pf_redm,Cancer (cases),NA,2239.23645955884
Med,pf_redm,CED (mJ),0,0
Med,pf_redm,CVD (deaths),NA,8405.53315435494
Med,pf_redm,Food_price ($),-0.608634707186127,-222.15166812293634
Med,pf_redm,GHG (kgCO2eq),0,0
Med,pf_redm,WATER (litereq),0,0
Med,pf_redm_tot,BLUEWATER (L),-22.1497515151912,-8084.6593030447875
Med,pf_redm_tot,CED (mJ),-0.976690703830852,-356.492106898261
Med,pf_redm_tot,Food_price ($),0,0
Med,pf_redm_tot,GHG (kgCO2eq),-0.425136845319702,-155.1749485416912
Med,pf_redm_tot,WATER (litereq),-125.832669711305,-45928.924444626326
Med,pf_seafood,BLUEWATER (L),3.30911116601994,1207.8255755972782
Med,pf_seafood,Cancer (cases),NA,0
Med,pf_seafood,CED (mJ),10.0153263840721,3655.5941301863168
Med,pf_seafood,CVD (deaths),NA,13201.0655385379
Med,pf_seafood,Food_price ($),3.74553947508207,1367.1219084049555
Med,pf_seafood,GHG (kgCO2eq),0.58976442371331,215.26401465535812
Med,pf_seafood,WATER (litereq),22.9042896620719,8360.065726656243
Med,sat_fat,BLUEWATER (L),-15.1588366416996,-5532.975374220354
Med,sat_fat,CED (mJ),-0.85094152260676,-310.5936557514674
Med,sat_fat,Food_price ($),-0.0873297184291308,-31.87534722663274
Med,sat_fat,GHG (kgCO2eq),-0.230562354908238,-84.15525954150688
Med,sat_fat,WATER (litereq),-68.601812053907,-25039.661399676053
Med,sodium,Cancer (cases),NA,0
Med,sodium,CVD (deaths),NA,42819.5613826702
Med,ssb,Cancer (cases),NA,337.809897750778
Med,ssb,CVD (deaths),NA,7170.48946306813
Med,veg_dg,BLUEWATER (L),2.68585301007979,980.3363486791234
Med,veg_dg,CED (mJ),0.0431979974318704,15.767269062632696
Med,veg_dg,Food_price ($),0.0743234028272605,27.128042031950084
Med,veg_dg,GHG (kgCO2eq),0.00491390725880995,1.793576149465632
Med,veg_dg,WATER (litereq),33.6625353309247,12286.825395787515
Med,veg_exc_sta,Cancer (cases),NA,3807.41157824615
Med,veg_exc_sta,CVD (deaths),NA,19188.5382037686
Med,veg_oth,BLUEWATER (L),0.539890517041625,197.06003872019315
Med,veg_oth,CED (mJ),0.00871763368473351,3.181936294927731
Med,veg_oth,Food_price ($),0.0645428538707467,23.558141662822543
Med,veg_oth,GHG (kgCO2eq),8.4177344775841e-4,0.30724730843181963
Med,veg_oth,WATER (litereq),4.53744654074733,1656.1679873727753
Med,veg_ro,BLUEWATER (L),8.27323114085484,3019.7293664120166
Med,veg_ro,CED (mJ),0.466188487335559,170.15879787747903
Med,veg_ro,Food_price ($),0.489972546913886,178.83997962356838
Med,veg_ro,GHG (kgCO2eq),0.0561776218527967,20.504831976270793
Med,veg_ro,WATER (litereq),63.8759980230652,23314.739278418798
Med,veg_sta,BLUEWATER (L),12.4168767139259,4532.160000582953
Med,veg_sta,CED (mJ),0.319237650858539,116.52174256336673
Med,veg_sta,Food_price ($),0.210037000294872,76.66350510762828
Med,veg_sta,GHG (kgCO2eq),0.0361157882428945,13.182262708656491
Med,veg_sta,WATER (litereq),54.9356791237073,20051.522880153167
US,added_sugar,BLUEWATER (L),-10.1704950182363,-3712.2306816562495
US,added_sugar,CED (mJ),-0.512920689306909,-187.2160515970218
US,added_sugar,Food_price ($),-0.833939673325176,-304.38798076368926
US,added_sugar,GHG (kgCO2eq),-0.0527609070224536,-19.257731063195564
US,added_sugar,WATER (litereq),-37.5865766653111,-13719.100482838552
US,dairy_cow,BLUEWATER (L),36.9422026305619,13483.903960155094
US,dairy_cow,CED (mJ),2.97887643373803,1087.289898314381
US,dairy_cow,Food_price ($),0,0
US,dairy_cow,GHG (kgCO2eq),0.552979160915266,201.8373937340721
US,dairy_cow,WATER (litereq),154.809232324791,56505.369798548716
US,dairy_soy,BLUEWATER (L),-0.0226665287214163,-8.27328298331695
US,dairy_soy,CED (mJ),-0.00295329579842531,-1.0779529664252383
US,dairy_soy,Food_price ($),0,0
US,dairy_soy,GHG (kgCO2eq),-4.5332846991599e-4,-0.16546489151933635
US,dairy_soy,WATER (litereq),-0.0395204219056264,-14.424953995553636
US,dairy_tot,BLUEWATER (L),0,0
US,dairy_tot,Cancer (cases),NA,10758.560465923
US,dairy_tot,CED (mJ),0,0
US,dairy_tot,CVD (deaths),NA,0
US,dairy_tot,Food_price ($),0.647427842967699,236.3111626832101
US,dairy_tot,GHG (kgCO2eq),0,0
US,dairy_tot,WATER (litereq),0,0
US,fruit_exc_juice,BLUEWATER (L),60.9505585461556,22246.953869346795
US,fruit_exc_juice,Cancer (cases),NA,5001.45979474112
US,fruit_exc_juice,CED (mJ),0.989477097472178,361.159140577345
US,fruit_exc_juice,CVD (deaths),NA,39346.7270002041
US,fruit_exc_juice,Food_price ($),1.52236232442628,555.6622484155922
US,fruit_exc_juice,GHG (kgCO2eq),0.129980041921318,47.442715301281076
US,fruit_exc_juice,WATER (litereq),450.890771358324,164575.13154578826
US,fruit_juice,BLUEWATER (L),21.621684637947,7891.914892850655
US,fruit_juice,CED (mJ),0.534202702348436,194.98398635717916
US,fruit_juice,Food_price ($),0.149158189825734,54.442739286392914
US,fruit_juice,GHG (kgCO2eq),0.0675899949317255,24.670348150079807
US,fruit_juice,WATER (litereq),184.761084041612,67437.79567518839
US,gr_refined,BLUEWATER (L),-30.1117746614761,-10990.797751438777
US,gr_refined,CED (mJ),-0.351425080682096,-128.27015444896503
US,gr_refined,Food_price ($),-1.04302366963895,-380.70363941821677
US,gr_refined,GHG (kgCO2eq),-0.0612791645664454,-22.366895066752573
US,gr_refined,WATER (litereq),-94.7065263630239,-34567.882122503725
US,gr_whole,BLUEWATER (L),26.9566370301456,9839.172516003144
US,gr_whole,Cancer (cases),NA,29263.258955636
US,gr_whole,CED (mJ),0.440161907582166,160.65909626749058
US,gr_whole,CVD (deaths),NA,50128.7648128309
US,gr_whole,Food_price ($),0.744736943593773,271.8289844117271
US,gr_whole,GHG (kgCO2eq),0.069580467752602,25.39687072969973
US,gr_whole,WATER (litereq),125.209973718784,45701.64040735616
US,leg_tot,BLUEWATER (L),3.72930723727786,1361.1971416064189
US,leg_tot,Cancer (cases),NA,2808.07095930982
US,leg_tot,CED (mJ),0.0716837706197748,26.1645762762178
US,leg_tot,CVD (deaths),NA,9893.13840012968
US,leg_tot,Food_price ($),0.0831458541032969,30.34823674770337
US,leg_tot,GHG (kgCO2eq),0.0123215460401859,4.497364304667854
US,leg_tot,WATER (litereq),14.5868349424506,5324.1947539944695
US,oil,BLUEWATER (L),-0.284862335952153,-103.97475262253585
US,oil,CED (mJ),-0.00918255093292125,-3.351631090516256
US,oil,Food_price ($),-0.0070019732886429,-2.5557202503546588
US,oil,GHG (kgCO2eq),-0.0011225614569179,-0.4097349317750335
US,oil,WATER (litereq),-0.795029667158601,-290.1858285128894
US,pf_egg,BLUEWATER (L),-3.75356359541298,-1370.0507123257378
US,pf_egg,CED (mJ),-0.191881331875684,-70.03668613462466
US,pf_egg,Food_price ($),-0.234408944621676,-85.55926478691174
US,pf_egg,GHG (kgCO2eq),-0.0313164940833573,-11.430520340425415
US,pf_egg,WATER (litereq),-8.61337235942834,-3143.880911191344
US,pf_ns,BLUEWATER (L),-8.76593232207959,-3199.5652975590506
US,pf_ns,Cancer (cases),NA,80.8919030574992
US,pf_ns,CED (mJ),-0.0214241722482427,-7.8198228706085855
US,pf_ns,CVD (deaths),NA,5106.97662480966
US,pf_ns,Food_price ($),-0.0306363781247804,-11.182278015544846
US,pf_ns,GHG (kgCO2eq),-0.00382790597619818,-1.3971856813123358
US,pf_ns,WATER (litereq),-50.5047244034985,-18434.224407276954
US,pf_pm,BLUEWATER (L),0,0
US,pf_pm,Cancer (cases),NA,3983.37567018598
US,pf_pm,CED (mJ),0,0
US,pf_pm,CVD (deaths),NA,21506.2753686045
US,pf_pm,Food_price ($),-0.172375675512933,-62.91712156222055
US,pf_pm,GHG (kgCO2eq),0,0
US,pf_pm,WATER (litereq),0,0
US,pf_poultry,BLUEWATER (L),0,0
US,pf_poultry,CED (mJ),0,0
US,pf_poultry,Food_price ($),-0.365850252477253,-133.53534215419734
US,pf_poultry,GHG (kgCO2eq),0,0
US,pf_poultry,WATER (litereq),0,0
US,pf_poultry_tot,BLUEWATER (L),-11.790909764024,-4303.68206386876
US,pf_poultry_tot,CED (mJ),-0.368362260404239,-134.45222504754722
US,pf_poultry_tot,Food_price ($),0,0
US,pf_poultry_tot,GHG (kgCO2eq),-0.0534348097407902,-19.50370555538842
US,pf_poultry_tot,WATER (litereq),-25.3143593518871,-9239.741163438792
US,pf_redm,BLUEWATER (L),0,0
US,pf_redm,Cancer (cases),NA,2239.23645955884
US,pf_redm,CED (mJ),0,0
US,pf_redm,CVD (deaths),NA,8405.53315435494
US,pf_redm,Food_price ($),-0.608633651498686,-222.15128279702037
US,pf_redm,GHG (kgCO2eq),0,0
US,pf_redm,WATER (litereq),0,0
US,pf_redm_tot,BLUEWATER (L),-22.1619084330494,-8089.096578063031
US,pf_redm_tot,CED (mJ),-0.977362802019134,-356.7374227369839
US,pf_redm_tot,Food_price ($),0,0
US,pf_redm_tot,GHG (kgCO2eq),-0.425179772845375,-155.19061708856188
US,pf_redm_tot,WATER (litereq),-125.868587489189,-45942.034433553985
US,pf_seafood,BLUEWATER (L),1.14607483676052,418.3173154175898
US,pf_seafood,Cancer (cases),NA,0
US,pf_seafood,CED (mJ),3.44028070496106,1255.702457310787
US,pf_seafood,CVD (deaths),NA,6357.31179999595
US,pf_seafood,Food_price ($),1.306176531577,476.754434025605
US,pf_seafood,GHG (kgCO2eq),0.205303066251984,74.93561918197416
US,pf_seafood,WATER (litereq),7.91666864255291,2889.584054531812
US,sat_fat,BLUEWATER (L),-15.1606470788679,-5533.6361837867835
US,sat_fat,CED (mJ),-0.851005967298362,-310.61717806390214
US,sat_fat,Food_price ($),-0.0873582872553507,-31.885774848203006
US,sat_fat,GHG (kgCO2eq),-0.230594510431246,-84.1669963074048
US,sat_fat,WATER (litereq),-68.6115056983242,-25043.199579888333
US,sodium,Cancer (cases),NA,0
US,sodium,CVD (deaths),NA,42819.5613826702
US,ssb,Cancer (cases),NA,337.809897750778
US,ssb,CVD (deaths),NA,7170.48946306813
US,veg_dg,BLUEWATER (L),2.67364510114441,975.8804619177096
US,veg_dg,CED (mJ),0.04299171139566,15.6919746594159
US,veg_dg,Food_price ($),0.0744505148272044,27.174437911929605
US,veg_dg,GHG (kgCO2eq),0.00489468996205909,1.7865618361515678
US,veg_dg,WATER (litereq),33.4527670630547,12210.259978014965
US,veg_exc_sta,Cancer (cases),NA,3807.41157824615
US,veg_exc_sta,CVD (deaths),NA,19188.5382037686
US,veg_oth,BLUEWATER (L),0.560591443804124,204.61587698850525
US,veg_oth,CED (mJ),0.00905971500185593,3.3067959756774146
US,veg_oth,Food_price ($),0.0669326024554426,24.430399896236548
US,veg_oth,GHG (kgCO2eq),9.1556878513935e-4,0.33418260657586274
US,veg_oth,WATER (litereq),4.7143336711867,1720.7317899831455
US,veg_ro,BLUEWATER (L),8.27547671845833,3020.5490022372906
US,veg_ro,CED (mJ),0.466163612636928,170.14971861247872
US,veg_ro,Food_price ($),0.489992936501322,178.8474218229825
US,veg_ro,GHG (kgCO2eq),0.0561795269230594,20.50552732691668
US,veg_ro,WATER (litereq),63.8981164750468,23322.81251339208
US,veg_sta,BLUEWATER (L),12.4242809633199,4534.862551611764
US,veg_sta,CED (mJ),0.319492393960571,116.61472379560841
US,veg_sta,Food_price ($),0.210069141496303,76.6752366461506
US,veg_sta,GHG (kgCO2eq),0.0361531007722586,13.195881781874387
US,veg_sta,WATER (litereq),54.9882582413217,20070.714258082422
Veg,added_sugar,BLUEWATER (L),-10.1239323378008,-3695.2353032972924
Veg,added_sugar,CED (mJ),-0.510550191268767,-186.35081981309995
Veg,added_sugar,Food_price ($),-0.830309819335093,-303.0630840573089
Veg,added_sugar,GHG (kgCO2eq),-0.0525160983039448,-19.168375880939852
Veg,added_sugar,WATER (litereq),-37.4170138641178,-13657.210060402997
Veg,dairy_cow,BLUEWATER (L),36.9406832342913,13483.349380516323
Veg,dairy_cow,CED (mJ),2.97875391549543,1087.245179155832
Veg,dairy_cow,Food_price ($),0,0
Veg,dairy_cow,GHG (kgCO2eq),0.55295641742909,201.82909236161782
Veg,dairy_cow,WATER (litereq),154.80286517412,56503.0457885538
Veg,dairy_soy,BLUEWATER (L),-0.0222712456473515,-8.129004661283298
Veg,dairy_soy,CED (mJ),-0.00290179308020269,-1.0591544742739818
Veg,dairy_soy,Food_price ($),0,0
Veg,dairy_soy,GHG (kgCO2eq),-4.4542284513542e-4,-0.1625793384744283
Veg,dairy_soy,WATER (litereq),-0.0388312226880844,-14.173396281150806
Veg,dairy_tot,BLUEWATER (L),0,0
Veg,dairy_tot,Cancer (cases),NA,10758.560465923
Veg,dairy_tot,CED (mJ),0,0
Veg,dairy_tot,CVD (deaths),NA,0
Veg,dairy_tot,Food_price ($),0.647555749817022,236.35784868321304
Veg,dairy_tot,GHG (kgCO2eq),0,0
Veg,dairy_tot,WATER (litereq),0,0
Veg,fruit_exc_juice,BLUEWATER (L),60.97200676038,22254.7824675387
Veg,fruit_exc_juice,Cancer (cases),NA,5001.45979474112
Veg,fruit_exc_juice,CED (mJ),0.990640951323677,361.5839472331421
Veg,fruit_exc_juice,CVD (deaths),NA,39346.7270002041
Veg,fruit_exc_juice,Food_price ($),1.52328564751767,555.9992613439496
Veg,fruit_exc_juice,GHG (kgCO2eq),0.130127421932688,47.49650900543112
Veg,fruit_exc_juice,WATER (litereq),451.032483967192,164626.85664802507
Veg,fruit_juice,BLUEWATER (L),21.5994435394504,7883.7968918993965
Veg,fruit_juice,CED (mJ),0.533866061202697,194.86111233898438
Veg,fruit_juice,Food_price ($),0.149073330122122,54.41176549457453
Veg,fruit_juice,GHG (kgCO2eq),0.0675575048299456,24.658489262930146
Veg,fruit_juice,WATER (litereq),184.66713218881,67403.50324891564
Veg,gr_refined,BLUEWATER (L),-30.120462824494,-10993.96893094031
Veg,gr_refined,CED (mJ),-0.351383557771427,-128.25499858657085
Veg,gr_refined,Food_price ($),-1.04336388159612,-380.8278167825838
Veg,gr_refined,GHG (kgCO2eq),-0.0612732405458549,-22.36473279923704
Veg,gr_refined,WATER (litereq),-94.7070848864196,-34568.085983543155
Veg,gr_whole,BLUEWATER (L),33.3531230590272,12173.889916544927
Veg,gr_whole,Cancer (cases),NA,29263.258955636
Veg,gr_whole,CED (mJ),0.544128641967416,198.60695431810683
Veg,gr_whole,CVD (deaths),NA,50128.7648128309
Veg,gr_whole,Food_price ($),0.91995034705086,335.7818766735639
Veg,gr_whole,GHG (kgCO2eq),0.0860612235026871,31.412346578480793
Veg,gr_whole,WATER (litereq),154.765151641542,56489.28034916283
Veg,leg_tot,BLUEWATER (L),27.459780043475,10022.819715868374
Veg,leg_tot,Cancer (cases),NA,13214.9730852266
Veg,leg_tot,CED (mJ),0.463388334762612,169.13674218835337
Veg,leg_tot,CVD (deaths),NA,43246.502182224
Veg,leg_tot,Food_price ($),0.527473824057688,192.5279457810561
Veg,leg_tot,GHG (kgCO2eq),0.0771687655353171,28.16659942039074
Veg,leg_tot,WATER (litereq),113.626504985816,41473.674319822836
Veg,oil,BLUEWATER (L),-0.282553257462507,-103.13193897381505
Veg,oil,CED (mJ),-0.00912297870939931,-3.3298872289307484
Veg,oil,Food_price ($),-0.00696846384097153,-2.5434893019546085
Veg,oil,GHG (kgCO2eq),-0.0011155768898147,-0.4071855647823655
Veg,oil,WATER (litereq),-0.788346469464999,-287.7464613547246
Veg,pf_egg,BLUEWATER (L),-5.27621405870255,-1925.8181314264307
Veg,pf_egg,CED (mJ),-0.26971888316539,-98.44739235536736
Veg,pf_egg,Food_price ($),-0.33709554330064,-123.0398733047336
Veg,pf_egg,GHG (kgCO2eq),-0.0440201750021785,-16.067363875795152
Veg,pf_egg,WATER (litereq),-12.1074267640471,-4419.210768877191
Veg,pf_ns,BLUEWATER (L),13.6009020863365,4964.329261512823
Veg,pf_ns,Cancer (cases),NA,620.024655163077
Veg,pf_ns,CED (mJ),0.0372229228030836,13.586366823125513
Veg,pf_ns,CVD (deaths),NA,38360.2537136558
Veg,pf_ns,Food_price ($),0.0639692192895838,23.348765040698087
Veg,pf_ns,GHG (kgCO2eq),0.00641119431477382,2.340085924892444
Veg,pf_ns,WATER (litereq),79.3831087787794,28974.83470425448
Veg,pf_pm,BLUEWATER (L),0,0
Veg,pf_pm,Cancer (cases),NA,14009.0897748626
Veg,pf_pm,CED (mJ),0,0
Veg,pf_pm,CVD (deaths),NA,66719.1490036747
Veg,pf_pm,Food_price ($),-0.856672421009868,-312.68543366860183
Veg,pf_pm,GHG (kgCO2eq),0,0
Veg,pf_pm,WATER (litereq),0,0
Veg,pf_poultry,BLUEWATER (L),0,0
Veg,pf_poultry,CED (mJ),0,0
Veg,pf_poultry,Food_price ($),-1.66097462244761,-606.2557371933776
Veg,pf_poultry,GHG (kgCO2eq),0,0
Veg,pf_poultry,WATER (litereq),0,0
Veg,pf_poultry_tot,BLUEWATER (L),-57.3069185143431,-20917.025257735233
Veg,pf_poultry_tot,CED (mJ),-1.79045675405638,-653.5167152305787
Veg,pf_poultry_tot,Food_price ($),0,0
Veg,pf_poultry_tot,GHG (kgCO2eq),-0.258911588468751,-94.50272979109411
Veg,pf_poultry_tot,WATER (litereq),-123.030342195574,-44906.074901384505
Veg,pf_redm,BLUEWATER (L),0,0
Veg,pf_redm,Cancer (cases),NA,9496.45098314288
Veg,pf_redm,CED (mJ),0,0
Veg,pf_redm,CVD (deaths),NA,37149.9801248133
Veg,pf_redm,Food_price ($),-3.00313202988334,-1096.1431909074192
Veg,pf_redm,GHG (kgCO2eq),0,0
Veg,pf_redm,WATER (litereq),0,0
Veg,pf_redm_tot,BLUEWATER (L),-108.476225078807,-39593.82215376456
Veg,pf_redm_tot,CED (mJ),-4.77475022872169,-1742.7838334834166
Veg,pf_redm_tot,Food_price ($),0,0
Veg,pf_redm_tot,GHG (kgCO2eq),-2.07169546740789,-756.1688456038797
Veg,pf_redm_tot,WATER (litereq),-613.484786953151,-223921.9472379001
Veg,pf_seafood,BLUEWATER (L),-1.32742965674868,-484.51182471326825
Veg,pf_seafood,Cancer (cases),NA,0
Veg,pf_seafood,CED (mJ),-4.06784940059028,-1484.7650312154522
Veg,pf_seafood,CVD (deaths),NA,0.0260692257065251
Veg,pf_seafood,Food_price ($),-1.48090113127681,-540.5289129160357
Veg,pf_seafood,GHG (kgCO2eq),-0.234405862943491,-85.55813997437421
Veg,pf_seafood,WATER (litereq),-9.21941593446921,-3365.0868160812615
Veg,sat_fat,BLUEWATER (L),-14.4835141368784,-5286.482659960616
Veg,sat_fat,CED (mJ),-0.81329134086458,-296.8513394155717
Veg,sat_fat,Food_price ($),-0.0834736880058485,-30.467896122134704
Veg,sat_fat,GHG (kgCO2eq),-0.22032145378689,-80.41733063221486
Veg,sat_fat,WATER (litereq),-65.5521220180959,-23926.524536605004
Veg,sodium,Cancer (cases),NA,0
Veg,sodium,CVD (deaths),NA,42819.5613826702
Veg,ssb,Cancer (cases),NA,337.809897750778
Veg,ssb,CVD (deaths),NA,7170.48946306813
Veg,veg_dg,BLUEWATER (L),2.68755046147846,980.955918439638
Veg,veg_dg,CED (mJ),0.0431825736653299,15.761639387845413
Veg,veg_dg,Food_price ($),0.0748716925246191,27.328167771485973
Veg,veg_dg,GHG (kgCO2eq),0.00491262830721663,1.79310933213407
Veg,veg_dg,WATER (litereq),33.6202663838178,12271.397230093497
Veg,veg_exc_sta,Cancer (cases),NA,3807.41157824615
Veg,veg_exc_sta,CVD (deaths),NA,19188.5382037686
Veg,veg_oth,BLUEWATER (L),0.535997382664918,195.6390446726951
Veg,veg_oth,CED (mJ),0.0086202032892342,3.146374200570483
Veg,veg_oth,Food_price ($),0.0656772868806495,23.972209711437067
Veg,veg_oth,GHG (kgCO2eq),8.3407651866284e-4,0.3044379293119366
Veg,veg_oth,WATER (litereq),4.45270081201493,1625.2357963854495
Veg,veg_ro,BLUEWATER (L),8.2698577746374,3018.498087742651
Veg,veg_ro,CED (mJ),0.466128363904597,170.1368528251779
Veg,veg_ro,Food_price ($),0.489942627543445,178.8290590533574
Veg,veg_ro,GHG (kgCO2eq),0.0561745680125573,20.503717324583413
Veg,veg_ro,WATER (litereq),63.8564775267838,23307.614297276086
Veg,veg_sta,BLUEWATER (L),12.4121298582713,4530.427398269025
Veg,veg_sta,CED (mJ),0.319361270244742,116.56686363933082
Veg,veg_sta,Food_price ($),0.20998683101412,76.6451933201538
Veg,veg_sta,GHG (kgCO2eq),0.0361252553301376,13.185718195500224
Veg,veg_sta,WATER (litereq),54.9501735818512,20056.81335737569
Vegan,added_sugar,BLUEWATER (L),-10.1194830097532,-3693.611298559918
Vegan,added_sugar,CED (mJ),-0.510352750114736,-186.27875379187864
Vegan,added_sugar,Food_price ($),-0.829811527179726,-302.8812074206
Vegan,added_sugar,GHG (kgCO2eq),-0.0524951272095489,-19.16072143148535
Vegan,added_sugar,WATER (litereq),-37.3994786932203,-13650.80972302541
Vegan,dairy_cow,BLUEWATER (L),-31.5526108527901,-11516.702961268385
Vegan,dairy_cow,CED (mJ),-2.54428058424771,-928.6624132504141
Vegan,dairy_cow,Food_price ($),0,0
Vegan,dairy_cow,GHG (kgCO2eq),-0.47230362652029,-172.39082367990585
Vegan,dairy_cow,WATER (litereq),-132.223720193725,-48261.65787070963
Vegan,dairy_soy,BLUEWATER (L),7.15531091301368,2611.688483249993
Vegan,dairy_soy,CED (mJ),0.932288746792707,340.28539257933807
Vegan,dairy_soy,Food_price ($),0,0
Vegan,dairy_soy,GHG (kgCO2eq),0.143105553913287,52.23352717834975
Vegan,dairy_soy,WATER (litereq),12.4757041373102,4553.632010118223
Vegan,dairy_tot,BLUEWATER (L),0,0
Vegan,dairy_tot,Cancer (cases),NA,0
