diet_pattern,outcome,food_group,total_impact_current,total_LB_current,total_UB_current,total_impact_CF,total_LB_CF,total_UB_CF,perc_change,perc_change_LB,perc_change_UB
US,BLUEWATER (L),gr_whole,2670132633.84539,2592307450.99039,2742581970.46781,9160746407.62033,9160746407.62033,9160746407.62033,243.08207358326942,253.38194179554097,234.01905599407687
US,BLUEWATER (L),leg_tot,1606996994.69768,1552803063.94472,1659243909.34006,2733055030.77242,2733055030.77242,2733055030.77242,70.0721930277525,76.00783346146959,64.71689396524305
US,BLUEWATER (L),oil,2307614327.20941,2283621959.42659,2332924327.35174,2261110984.6876,2261110984.6876,2261110984.6876,-2.015212939765649,-0.9857575001005098,-3.0782542674952484
US,BLUEWATER (L),pf_egg,4606646201.53822,4449421644.95507,4752549627.00406,3434336820.80644,3434336820.80644,3434336820.80644,-25.44821827950084,-22.81385998334352,-27.73696036139243
US,BLUEWATER (L),pf_ns,9955235317.43123,9565206929.49532,10342331358.6646,9270378716.29334,9270378716.29334,9270378716.29334,-6.879361253658491,-3.0822983274187714,-10.364709901440152
US,BLUEWATER (L),pf_pm,0,0,0,0,0,0,NA,NA,NA
US,BLUEWATER (L),pf_poultry,0,0,0,0,0,0,NA,NA,NA
US,BLUEWATER (L),pf_poultry_tot,13500673315.2374,13238343679.8448,13723439298.6992,11150746313.0689,11150746313.0689,11150746313.0689,-17.405998555022283,-15.769324450718411,-18.746707218460593
US,BLUEWATER (L),pf_redm,0,0,0,0,0,0,NA,NA,NA
US,BLUEWATER (L),pf_redm_tot,25823431930.2565,25363152000.8096,26263803493.0346,21157635230.3612,21157635230.3612,21157635230.3612,-18.068073649143958,-16.58120713984666,-19.44184612875132
US,BLUEWATER (L),pf_seafood,256684688.456106,246224422.866534,268386068.407519,557510717.978813,557510717.978813,557510717.978813,117.19671762741288,126.42380942081112,107.72714518560088
US,BLUEWATER (L),sat_fat,7623245512.06366,7569789255.29806,7675805061.646,3918855999.05435,3918855999.05435,3918855999.05435,-48.5933387183605,-48.23031570777798,-48.94534231157259
US,BLUEWATER (L),veg_dg,1698291977.29839,1635088573.21915,1766906023.76418,2536326412.90315,2536326412.90315,2536326412.90315,49.34572186685408,55.11859445691372,43.54619763533393
US,BLUEWATER (L),veg_oth,3971341715.09344,3883120272.27117,4055692614.233,4421000496.86083,4421000496.86083,4421000496.86083,11.32259105426314,13.851752891369065,9.007287222552895
US,BLUEWATER (L),veg_ro,1631328379.24755,1600170946.33528,1662073042.53528,3511706272.05894,3511706272.05894,3511706272.05894,115.26666958854194,119.45819476984434,111.28471385964367
US,BLUEWATER (L),veg_sta,2849548666.60464,2793010295.0765,2907641873.61787,4732970065.59387,4732970065.59387,4732970065.59387,66.09542841159501,69.45766630137807,62.77692615923202
Veg,BLUEWATER (L),added_sugar,2894089409.81063,2847610901.49386,2941884175.06995,329485926.64842,329485926.64842,329485926.64842,-88.61521259393368,-88.42939088077057,-88.80017339089886
Veg,BLUEWATER (L),dairy_cow,7663355633.67328,7537763719.64454,7789548130.05782,16773752973.978,16773752973.978,16773752973.978,118.88261194969274,122.5295670951199,115.33666258832773
Veg,BLUEWATER (L),dairy_soy,26171051.1354765,20426543.2907838,32225820.029577,0,0,0,-100,-100,-100
Veg,BLUEWATER (L),dairy_tot,0,0,0,0,0,0,NA,NA,NA
Veg,BLUEWATER (L),fruit_exc_juice,9823842750.4754,9559765303.56038,10126287544.5864,22197228610.2973,22197228610.2973,22197228610.2973,125.95260504575074,132.1942841214972,119.20401245335097
Veg,BLUEWATER (L),fruit_juice,5139962741.16044,4888510506.78435,5371288257.88177,9668249881.67551,9668249881.67551,9668249881.67551,88.09961022193569,97.7749637288856,79.99871571756412
Veg,BLUEWATER (L),gr_refined,17003409546.3916,16823642782.9873,17172937409.8721,9622694035.81754,9622694035.81754,9622694035.81754,-43.40726776260217,-42.802553763514474,-43.96594009429161
Veg,BLUEWATER (L),gr_whole,2673826102.16768,2599925221.39363,2738981639.71082,10687537475.557,10687537475.557,10687537475.557,299.7095198858511,311.07095648805586,290.20113609397475
Veg,BLUEWATER (L),leg_tot,1607215983.10665,1554386908.93925,1657315384.76253,8496236291.31427,8496236291.31427,8496236291.31427,428.6306495590944,446.597262396677,412.65054131695405
Veg,BLUEWATER (L),oil,2308047974.76485,2282523291.03041,2334076503.0159,2261110984.6876,2261110984.6876,2261110984.6876,-2.0336228098565443,-0.9380980438163864,-3.126097976395376
Veg,BLUEWATER (L),pf_egg,4606086520.99975,4462314580.50469,4757078243.90492,3076593401.97244,3076593401.97244,3076593401.97244,-33.20591378503533,-31.053865735649783,-35.32598699812489
Veg,BLUEWATER (L),pf_ns,9954755033.04209,9581704302.92684,10330483768.186,14714886851.2593,14714886851.2593,14714886851.2593,47.81766906787011,53.572750588478,42.44141108449935
Veg,BLUEWATER (L),pf_pm,0,0,0,0,0,0,NA,NA,NA
Veg,BLUEWATER (L),pf_poultry,0,0,0,0,0,0,NA,NA,NA
Veg,BLUEWATER (L),pf_poultry_tot,13487157086.4803,13236259280.2275,13741194570.5235,0,0,0,-100,-100,-100
Veg,BLUEWATER (L),pf_redm,0,0,0,0,0,0,NA,NA,NA
Veg,BLUEWATER (L),pf_redm_tot,25822031144.0525,25360828082.8274,26260761902.0373,0,0,0,-100,-100,-100
Veg,BLUEWATER (L),pf_seafood,256659940.832177,245620320.176604,267036466.805916,0,0,0,-100,-100,-100
Veg,BLUEWATER (L),sat_fat,7623582786.70511,7573000797.52084,7677232948.15812,4083489109.29219,4083489109.29219,4083489109.29219,-46.43608886344812,-46.07832194301373,-46.810405039593356
Veg,BLUEWATER (L),veg_dg,1700151569.94564,1636091855.69595,1769199285.42639,2536326412.90315,2536326412.90315,2536326412.90315,49.1823704273758,55.02347280032539,43.36013098105434
Veg,BLUEWATER (L),veg_oth,3970693628.62796,3881717167.94657,4051922148.97329,4421000496.86083,4421000496.86083,4421000496.86083,11.34076084304872,13.892906298465366,9.108722584442065
Veg,BLUEWATER (L),veg_ro,1631597422.30234,1598407924.6475,1664588959.43743,3511706272.05894,3511706272.05894,3511706272.05894,115.23117308579629,119.7002541033687,110.96537088926554
Veg,BLUEWATER (L),veg_sta,2847191829.75393,2790229182.28996,2905299610.17648,4732970065.59387,4732970065.59387,4732970065.59387,66.23291820849737,69.62657030593773,62.90815752755944
Vegan,BLUEWATER (L),added_sugar,2894478963.27014,2845875459.44314,2946905982.75231,329485926.64842,329485926.64842,329485926.64842,-88.61674481557912,-88.42233501275943,-88.81925895916464
Vegan,BLUEWATER (L),dairy_cow,7659214867.1424,7539631541.81209,7789981237.9673,0,0,0,-100,-100,-100
Vegan,BLUEWATER (L),dairy_soy,26269566.444962,20329793.9029548,31761988.3474299,1757702186.33754,1757702186.33754,1757702186.33754,6591.020919664374,8545.941984104766,5433.980326139654
Vegan,BLUEWATER (L),dairy_tot,0,0,0,0,0,0,NA,NA,NA
Vegan,BLUEWATER (L),fruit_exc_juice,9835890463.00793,9540314611.12861,10137897819.9955,22197228610.2973,22197228610.2973,22197228610.2973,125.67584189534706,132.6676793698671,118.95297234616584
Vegan,BLUEWATER (L),fruit_juice,5134079476.01957,4890822520.85052,5383881952.56395,9668249881.67551,9668249881.67551,9668249881.67551,88.31515808889002,97.6814705595612,79.57767214920509
Vegan,BLUEWATER (L),gr_refined,17002323798.8582,16823564328.9593,17193045096.5261,9622694035.81754,9622694035.81754,9622694035.81754,-43.40365382016924,-42.80228703228196,-44.0314732975264
Vegan,BLUEWATER (L),gr_whole,2671923457.73588,2595468796.26796,2742015451.75295,10687537475.557,10687537475.557,10687537475.557,299.9941482086222,311.77676614431556,289.7694109901728
Vegan,BLUEWATER (L),leg_tot,1608534967.91268,1554487946.05143,1661644914.52577,9298328528.60619,9298328528.60619,9298328528.60619,478.0619454404646,498.1602206839214,459.58577234654933
Vegan,BLUEWATER (L),oil,2309413744.9129,2281194662.84071,2335136796.80794,2261110984.6876,2261110984.6876,2261110984.6876,-2.09155939821089,-0.8804017684356829,-3.170084605815423
Vegan,BLUEWATER (L),pf_egg,4608181044.89365,4453886319.65644,4767844954.93017,0,0,0,-100,-100,-100
Vegan,BLUEWATER (L),pf_ns,9956592763.88122,9594192838.3131,10326989236.7244,16774971010.4356,16774971010.4356,16774971010.4356,68.48103973167304,74.84504734412927,62.43815720056299
Vegan,BLUEWATER (L),pf_pm,0,0,0,0,0,0,NA,NA,NA
Vegan,BLUEWATER (L),pf_poultry,0,0,0,0,0,0,NA,NA,NA
Vegan,BLUEWATER (L),pf_poultry_tot,13494866903.2902,13234106611.8721,13762119931.3912,0,0,0,-100,-100,-100
Vegan,BLUEWATER (L),pf_redm,0,0,0,0,0,0,NA,NA,NA
Vegan,BLUEWATER (L),pf_redm_tot,25826916536.1532,25347213248.4925,26286868295.3878,0,0,0,-100,-100,-100
Vegan,BLUEWATER (L),pf_seafood,256772927.115448,246294079.238965,267672105.013283,0,0,0,-100,-100,-100
Vegan,BLUEWATER (L),sat_fat,7623717094.13978,7570461870.08123,7675867618.82977,4083489109.29219,4083489109.29219,4083489109.29219,-46.43703250175564,-46.06023807569386,-46.800944048658025
Vegan,BLUEWATER (L),veg_dg,1699171703.22768,1622736783.41933,1768034100.39697,2536326412.90315,2536326412.90315,2536326412.90315,49.26839989656395,56.299311066256905,43.45460940678001
Vegan,BLUEWATER (L),veg_oth,3969505452.968,3892587927.37692,4055399181.32177,4421000496.86083,4421000496.86083,4421000496.86083,11.374088012783744,13.574839652754845,9.015174565870979
Vegan,BLUEWATER (L),veg_ro,1630879951.65151,1598852121.11783,1663541079.68013,3511706272.05894,3511706272.05894,3511706272.05894,115.32585942348557,119.63921651514255,111.09825990796571
Vegan,BLUEWATER (L),veg_sta,2850426191.83991,2789912705.6982,2910664990.20729,4732970065.59387,4732970065.59387,4732970065.59387,66.04429467927406,69.64581206885477,62.607860455173856
DGAplus,CED (MJ),added_sugar,145985022.567688,143410257.805921,148648730.552319,16597595.7633591,16597595.7633591,16597595.7633591,-88.6306173938745,-88.42649332252032,-88.83435082042807
DGAplus,CED (MJ),dairy_cow,617591006.364454,608033044.984062,627433915.882522,1352570607.09718,1352570607.09718,1352570607.09718,119.00749738233691,122.45018066947893,115.57180331807714
DGAplus,CED (MJ),dairy_soy,3425326.20772732,2722308.11289306,4133518.02373982,0,0,0,-100,-100,-100
DGAplus,CED (MJ),dairy_tot,0,0,0,0,0,0,NA,NA,NA
DGAplus,CED (MJ),fruit_exc_juice,157717228.744767,153152777.950335,162408511.770418,465070154.579482,465070154.579482,465070154.579482,194.8759360539505,203.66419780534238,186.3582391770876
DGAplus,CED (MJ),fruit_juice,128784511.786744,122949222.146942,134902230.520182,0,0,0,-100,-100,-100
DGAplus,CED (MJ),gr_refined,197491793.666245,195582063.221326,199526505.777327,92899299.905885,92899299.905885,92899299.905885,-52.96042525043754,-52.501114685165376,-53.44012087819486
DGAplus,CED (MJ),gr_whole,43277579.1047854,42039105.0649601,44376983.4844055,173822694.965247,173822694.965247,173822694.965247,301.6460683819226,313.47858070872564,291.69560731033005
DGAplus,CED (MJ),leg_tot,25285368.082347,24433497.9074943,26137988.1942671,85726623.3102796,85726623.3102796,85726623.3102796,239.0364855717869,250.85694088845676,227.97712920033453
DGAplus,CED (MJ),oil,74822158.8118914,73979761.8209854,75687437.6186672,73323588.8793782,73323588.8793782,73323588.8793782,-2.0028424150133466,-0.8869627658372298,-3.123171841539516
DGAplus,CED (MJ),pf_egg,235328825.737138,227984777.207569,243208718.457398,91438817.9802199,91438817.9802199,91438817.9802199,-61.14423394847645,-59.892577434251535,-62.40314962383352
DGAplus,CED (MJ),pf_ns,25726630.5294054,24632582.8294887,26730750.2689376,38480676.8859892,38480676.8859892,38480676.8859892,49.575269260410884,56.21860343415699,43.95659118743693
DGAplus,CED (MJ),pf_pm,0,0,0,0,0,0,NA,NA,NA
DGAplus,CED (MJ),pf_poultry,0,0,0,0,0,0,NA,NA,NA
DGAplus,CED (MJ),pf_poultry_tot,421718319.707892,413650595.042925,429677846.020576,238622446.258784,238622446.258784,238622446.258784,-43.41662785148424,-42.31304170273903,-44.46480113676676
DGAplus,CED (MJ),pf_redm,0,0,0,0,0,0,NA,NA,NA
DGAplus,CED (MJ),pf_redm_tot,1135336256.98068,1114993270.00593,1156147424.55361,262946549.331832,262946549.331832,262946549.331832,-76.83976463227611,-76.41720749306106,-77.25665916408923
DGAplus,CED (MJ),pf_seafood,820315916.16499,789030408.027283,850425484.442444,1575125124.98194,1575125124.98194,1575125124.98194,92.01445369312272,99.6279368902948,85.21612461021482
DGAplus,CED (MJ),sat_fat,427071147.785851,424390072.134325,429990335.98953,228291721.041115,228291721.041115,228291721.041115,-46.5448035474434,-46.20710143076635,-46.907708863793225
DGAplus,CED (MJ),veg_dg,29714947.3534008,28483171.0794499,30825589.7718475,43589541.6874079,43589541.6874079,43589541.6874079,46.69230663273981,53.03612637027266,41.40699986612262
DGAplus,CED (MJ),veg_oth,77031250.3181807,75534115.7616792,78609375.1633708,85588865.5348417,85588865.5348417,85588865.5348417,11.109277314483966,13.311534360032299,8.878699718660396
DGAplus,CED (MJ),veg_ro,91480990.225099,89533578.5461011,93235332.539651,197233246.003642,197233246.003642,197233246.003642,115.60025259710021,120.28969377347745,111.54345743311731
DGAplus,CED (MJ),veg_sta,73727788.9339208,72147824.4370455,75333793.6141576,122239516.174551,122239516.174551,122239516.174551,65.79842952310597,69.42924769854194,62.26385305993448
Med,CED (MJ),added_sugar,145955766.917835,143471688.808413,148331810.709209,15941193.6710228,15941193.6710228,15941193.6710228,-89.07806521958341,-88.88896213363034,-89.2530175457279
Med,CED (MJ),dairy_cow,617776232.794353,607718584.870148,628793787.21134,901713738.06479,901713738.06479,901713738.06479,45.96122191138986,48.376857399788165,43.403728917843246
Med,CED (MJ),dairy_soy,3415795.36489582,2677177.0932259,4135305.9879192,0,0,0,-100,-100,-100
Med,CED (MJ),dairy_tot,0,0,0,0,0,0,NA,NA,NA
Med,CED (MJ),fruit_exc_juice,157880457.2728,153327695.061584,162743715.205323,446467348.396303,446467348.396303,446467348.396303,182.78822858034712,191.1850649140585,174.33768968161047
Med,CED (MJ),fruit_juice,128832175.648919,122711771.360093,134841317.971432,303302220.127794,303302220.127794,303302220.127794,135.4242786012742,147.16636127577792,124.93270214998402
Med,CED (MJ),gr_refined,197528290.962418,195406390.009542,199660484.530898,111479159.887062,111479159.887062,111479159.887062,-43.56294010143986,-42.95009498838891,-44.16563690658064
Med,CED (MJ),gr_whole,43245978.7006266,42027427.2787599,44462262.1744041,148990881.398783,148990881.398783,148990881.398783,244.51961980137645,254.5086888392072,235.09514386461788
Med,CED (MJ),leg_tot,25295773.4706027,24429587.8904221,26177233.5950885,45067710.5402613,45067710.5402613,45067710.5402613,78.1630065300688,84.48002783514255,72.16376351058395
Med,CED (MJ),oil,74863468.124579,74038012.4427854,75721490.4775166,73323588.8793782,73323588.8793782,73323588.8793782,-2.05691678969282,-0.9649415750581974,-3.1667385084692663
Med,CED (MJ),pf_egg,235683462.199696,227956701.966101,242867839.145446,175562530.522022,175562530.522022,175562530.522022,-25.50918554766188,-22.98426455207727,-27.71273004290903
Med,CED (MJ),pf_ns,25702834.4027213,24669944.5331825,26729239.1886318,24242826.4381732,24242826.4381732,24242826.4381732,-5.680338369193713,-1.7313297743122298,-9.30222043699655
Med,CED (MJ),pf_pm,0,0,0,0,0,0,NA,NA,NA
Med,CED (MJ),pf_poultry,0,0,0,0,0,0,NA,NA,NA
Med,CED (MJ),pf_poultry_tot,421747856.539991,413616761.872652,429690026.542938,348388771.537825,348388771.537825,348388771.537825,-17.39406232055384,-15.770151586581488,-18.920908092566293
Med,CED (MJ),pf_redm,0,0,0,0,0,0,NA,NA,NA
Med,CED (MJ),pf_redm_tot,1136066859.72268,1115812465.40244,1157399654.87776,930830784.634686,930830784.634686,930830784.634686,-18.065492654023313,-16.578205254324413,-19.575681510549895
Med,CED (MJ),pf_seafood,819543592.773082,787386837.692152,850345350.745349,3370767767.46134,3370767767.46134,3370767767.46134,311.29816609946334,328.09551875938564,296.3998585406244
Med,CED (MJ),sat_fat,427056474.180052,424047463.056929,429973575.374629,219087735.167607,219087735.167607,219087735.167607,-48.698181993785425,-48.33414788330094,-49.04623267215447
Med,CED (MJ),veg_dg,29691781.637223,28480574.1801285,30836328.5088284,43589541.6874079,43589541.6874079,43589541.6874079,46.80675689990264,53.05008042225936,41.35775494455597
Med,CED (MJ),veg_oth,77092400.4606576,75347393.6415022,78637279.590788,85588865.5348417,85588865.5348417,85588865.5348417,11.021144786534553,13.592337303752974,8.840064127635515
Med,CED (MJ),veg_ro,91458660.5941053,89546026.1031226,93288820.1508862,197233246.003642,197233246.003642,197233246.003642,115.65289139643717,120.25907188388807,111.42216793463047
Med,CED (MJ),veg_sta,73682688.1494358,72118443.7364756,75267016.2507327,122239516.174551,122239516.174551,122239516.174551,65.89991386665633,69.49827234378532,62.40781455630111
US,CED (MJ),added_sugar,146014794.947768,143532861.619378,148336667.996995,15941193.6710228,15941193.6710228,15941193.6710228,-89.08248052758952,-88.89369758871258,-89.25336945592863
US,CED (MJ),dairy_cow,617838552.433055,608440816.965858,628003718.572269,1352570607.09718,1352570607.09718,1352570607.09718,118.91974881961345,122.3010964060746,115.37620990082237
US,CED (MJ),dairy_soy,3408309.15812063,2673323.02768703,4197055.3990807,0,0,0,-100,-100,-100
US,CED (MJ),dairy_tot,0,0,0,0,0,0,NA,NA,NA
US,CED (MJ),fruit_exc_juice,157841143.417699,153159675.080903,162411152.313869,358104019.026201,358104019.026201,358104019.026201,126.87621951555515,133.81090279607932,120.49225925947755
US,CED (MJ),fruit_juice,128521943.718914,123041816.352343,134837631.472621,240550036.653078,240550036.653078,240550036.653078,87.16651000795385,95.50267038015599,78.39977907200341
US,CED (MJ),gr_refined,197491908.189994,195368339.334653,199678003.967315,111479159.887062,111479159.887062,111479159.887062,-43.552543033907384,-42.938983733640896,-44.17053572645394
US,CED (MJ),gr_whole,43260289.4593168,42015867.4457609,44416861.4701486,148990881.398783,148990881.398783,148990881.398783,244.40565068085883,254.60622487710918,235.43766143610992
US,CED (MJ),leg_tot,25302206.1535824,24383179.8651654,26149450.2162165,45067710.5402613,45067710.5402613,45067710.5402613,78.11771142288478,84.83114503308276,72.34668479688608
US,CED (MJ),oil,74818969.2725078,74034925.5290293,75625610.5039289,73323588.8793782,73323588.8793782,73323588.8793782,-1.9986647873790997,-0.9608122714625791,-3.0439709632904126
US,CED (MJ),pf_egg,235490723.991306,227453439.806857,242949274.483917,175562530.522022,175562530.522022,175562530.522022,-25.44821827950067,-22.813859983343562,-27.736960361392608
US,CED (MJ),pf_ns,25716815.7062057,24675174.2644487,26714844.2933323,24242826.4381732,24242826.4381732,24242826.4381732,-5.73161656120906,-1.752157134300009,-9.25334929156254
US,CED (MJ),pf_pm,0,0,0,0,0,0,NA,NA,NA
US,CED (MJ),pf_poultry,0,0,0,0,0,0,NA,NA,NA
