subgroup,Race,Sex,Age,diseases,count,crude_SE,population,Age_label,Sex_label,Race_label
1,1,1,1,AA,18,0,4445935.747,25-34,Female,NHW
2,2,1,1,AA,5,0,3828444.671,25-34,Female,NHB
3,3,1,1,AA,3,0,3056580.826,25-34,Female,HIS
4,4,1,1,AA,1,0,3674071.902,25-34,Female,OTH
5,1,2,1,AA,48,0,4415061.193,25-34,Male,NHW
6,2,2,1,AA,24,0,2871333.503,25-34,Male,NHB
7,3,2,1,AA,17,0,3087455.38,25-34,Male,HIS
8,4,2,1,AA,7,0,3457950.026,25-34,Male,OTH
9,1,1,2,AA,34,0,4476810.301,35-44,Female,NHW
10,2,1,2,AA,17,0,3427075.472,35-44,Female,NHB
11,3,1,2,AA,3,0,4260688.424,35-44,Female,HIS
12,4,1,2,AA,6,0,3056580.826,35-44,Female,OTH
13,1,2,2,AA,116,0,3612322.795,35-44,Male,NHW
14,2,2,2,AA,62,0,2747835.288,35-44,Male,NHB
15,3,2,2,AA,39,0,3087455.38,35-44,Male,HIS
16,4,2,2,AA,8,0,2840458.95,35-44,Male,OTH
17,1,1,3,AA,106,0,4075441.102,45-54,Female,NHW
18,2,1,3,AA,45,0,3334451.81,45-54,Female,NHB
19,3,1,3,AA,8,0,3457950.026,45-54,Female,HIS
20,4,1,3,AA,7,0,3396200.918,45-54,Female,OTH
21,1,2,3,AA,352,0,3859319.225,45-54,Male,NHW
22,2,2,3,AA,100,0,3210953.595,45-54,Male,NHB
23,3,2,3,AA,32,0,2963957.165,45-54,Male,HIS
24,4,2,3,AA,26,0,3550573.687,45-54,Male,OTH
25,1,1,4,AA,224,0,5248674.146,55-64,Female,NHW
26,2,1,4,AA,51,0,5372172.361,55-64,Female,NHB
27,3,1,4,AA,13,0,4939928.608,55-64,Female,HIS
28,4,1,4,AA,19,0,4075441.102,55-64,Female,OTH
29,1,2,4,AA,684,0,5742667.007,55-64,Male,NHW
30,2,2,4,AA,117,0,4723806.731,55-64,Male,NHB
31,3,2,4,AA,49,0,4569433.962,55-64,Male,HIS
32,4,2,4,AA,42,0,3334451.81,55-64,Male,OTH
33,1,1,5,AA,568,0,4939928.608,65-74,Female,NHW
34,2,1,5,AA,79,0,3087455.38,65-74,Female,NHB
35,3,1,5,AA,25,0,3056580.826,65-74,Female,HIS
36,4,1,5,AA,21,0,2037720.551,65-74,Female,OTH
37,1,2,5,AA,1059,0,5804416.114,65-74,Male,NHW
38,2,2,5,AA,110,0,3581448.241,65-74,Male,NHB
39,3,2,5,AA,54,0,2747835.288,65-74,Male,HIS
40,4,2,5,AA,45,0,2068595.105,65-74,Male,OTH
41,1,1,6,AA,2443,0,6792401.836,75+,Female,NHW
