Sex_label,Age_label,Race_label,crude_rate,crude_SE,count,population,Sex,Age,Race,subgroup,diseases
Female,25-34,NHW,0.377,0,18,4772869.646,1,1,1,1,AA
Female,25-34,NHB,0.827,0,34,4109971.084,1,1,2,2,AA
Female,25-34,HIS,3.23,0,106,3281347.882,1,1,3,3,AA
Female,25-34,OTH,5.679,0,224,3944246.444,1,1,4,4,AA
Male,25-34,NHW,11.984,0,568,4739724.718,2,1,1,5,AA
Male,25-34,NHB,79.254,0,2443,3082478.313,2,1,2,6,AA
Male,25-34,HIS,1.448,0,48,3314492.81,2,1,3,7,AA
Male,25-34,OTH,3.125,0,116,3712231.947,2,1,4,8,AA
Female,35-44,NHW,7.324,0,352,4806014.575,1,2,1,9,AA
Female,35-44,NHB,18.592,0,684,3679087.019,1,2,2,10,AA
Female,35-44,HIS,23.153,0,1059,4574000.078,1,2,3,11,AA
Female,35-44,OTH,74.146,0,2433,3281347.882,1,2,4,12,AA
Male,35-44,NHW,0.129,0,5,3877956.588,2,2,1,13,AA
Male,35-44,NHB,0.576,0,17,2949898.601,2,2,2,14,AA
Male,35-44,HIS,1.358,0,45,3314492.81,2,2,3,15,AA
Male,35-44,OTH,1.672,0,51,3049333.385,2,2,4,16,AA
Female,45-54,NHW,1.806,0,79,4375130.509,1,3,1,17,AA
Female,45-54,NHB,4.861,0,174,3579652.235,1,3,2,18,AA
Female,45-54,HIS,0.647,0,24,3712231.947,1,3,3,19,AA
Female,45-54,OTH,1.701,0,62,3645942.091,1,3,4,20,AA
Male,45-54,NHW,2.414,0,100,4143116.013,2,3,1,21,AA
Male,45-54,NHB,3.394,0,117,3447072.522,2,3,2,22,AA
Male,45-54,HIS,3.457,0,110,3181913.098,2,3,3,23,AA
Male,45-54,OTH,3.201,0,122,3811666.732,2,3,4,24,AA
Female,55-64,NHW,0.053,0,3,5634637.777,1,4,1,25,AA
Female,55-64,NHB,0.052,0,3,5767217.489,1,4,2,26,AA
Female,55-64,HIS,0.151,0,8,5303188.496,1,4,3,27,AA
Female,55-64,OTH,0.297,0,13,4375130.509,1,4,4,28,AA
Male,55-64,NHW,0.406,0,25,6164956.627,2,4,1,29,AA
Male,55-64,NHB,1.716,0,87,5071173.999,2,4,2,30,AA
Male,55-64,HIS,0.347,0,17,4905449.359,2,4,3,31,AA
Male,55-64,OTH,1.089,0,39,3579652.235,2,4,4,32,AA
Female,65-74,NHW,0.603,0,32,5303188.496,1,5,1,33,AA
Female,65-74,NHB,1.478,0,49,3314492.81,1,5,2,34,AA
Female,65-74,HIS,1.646,0,54,3281347.882,1,5,3,35,AA
Female,65-74,OTH,3.611,0,79,2187565.255,1,5,4,36,AA
Male,65-74,NHW,0.016,0,1,6231246.483,2,5,1,37,AA
Male,65-74,NHB,0.156,0,6,3844811.66,2,5,2,38,AA
Male,65-74,HIS,0.237,0,7,2949898.601,2,5,3,39,AA
Male,65-74,OTH,0.856,0,19,2220710.183,2,5,4,40,AA
Female,75+,NHW,0.288,0,21,7291884.182,1,6,1,41,AA
Female,75+,NHB,3.802,0,92,2419579.751,1,6,2,42,AA
Female,75+,HIS,0.542,0,7,1292652.196,1,6,3,43,AA
Female,75+,OTH,0.575,0,8,1392086.98,1,6,4,44,AA
Male,75+,NHW,0.338,0,26,7689623.319,2,6,1,45,AA
Male,75+,NHB,2.044,0,42,2054985.542,2,6,2,46,AA
Male,75+,HIS,4.243,0,45,1060637.699,2,6,3,47,AA
Male,75+,OTH,7.672,0,89,1160072.484,2,6,4,48,AA
Female,25-34,NHW,0.377,0,18,4772869.646,1,1,1,1,AA_medBMI
Female,25-34,NHB,0.827,0,34,4109971.084,1,1,2,2,AA_medBMI
Female,25-34,HIS,3.23,0,106,3281347.882,1,1,3,3,AA_medBMI
Female,25-34,OTH,5.679,0,224,3944246.444,1,1,4,4,AA_medBMI
Male,25-34,NHW,11.984,0,568,4739724.718,2,1,1,5,AA_medBMI
Male,25-34,NHB,79.254,0,2443,3082478.313,2,1,2,6,AA_medBMI
Male,25-34,HIS,1.448,0,48,3314492.81,2,1,3,7,AA_medBMI
Male,25-34,OTH,3.125,0,116,3712231.947,2,1,4,8,AA_medBMI
Female,35-44,NHW,7.324,0,352,4806014.575,1,2,1,9,AA_medBMI
Female,35-44,NHB,18.592,0,684,3679087.019,1,2,2,10,AA_medBMI
Female,35-44,HIS,23.153,0,1059,4574000.078,1,2,3,11,AA_medBMI
Female,35-44,OTH,74.146,0,2433,3281347.882,1,2,4,12,AA_medBMI
Male,35-44,NHW,0.129,0,5,3877956.588,2,2,1,13,AA_medBMI
Male,35-44,NHB,0.576,0,17,2949898.601,2,2,2,14,AA_medBMI
Male,35-44,HIS,1.358,0,45,3314492.81,2,2,3,15,AA_medBMI
Male,35-44,OTH,1.672,0,51,3049333.385,2,2,4,16,AA_medBMI
Female,45-54,NHW,1.806,0,79,4375130.509,1,3,1,17,AA_medBMI
Female,45-54,NHB,4.861,0,174,3579652.235,1,3,2,18,AA_medBMI
Female,45-54,HIS,0.647,0,24,3712231.947,1,3,3,19,AA_medBMI
Female,45-54,OTH,1.701,0,62,3645942.091,1,3,4,20,AA_medBMI
Male,45-54,NHW,2.414,0,100,4143116.013,2,3,1,21,AA_medBMI
Male,45-54,NHB,3.394,0,117,3447072.522,2,3,2,22,AA_medBMI
Male,45-54,HIS,3.457,0,110,3181913.098,2,3,3,23,AA_medBMI
Male,45-54,OTH,3.201,0,122,3811666.732,2,3,4,24,AA_medBMI
Female,55-64,NHW,0.053,0,3,5634637.777,1,4,1,25,AA_medBMI
Female,55-64,NHB,0.052,0,3,5767217.489,1,4,2,26,AA_medBMI
Female,55-64,HIS,0.151,0,8,5303188.496,1,4,3,27,AA_medBMI
Female,55-64,OTH,0.297,0,13,4375130.509,1,4,4,28,AA_medBMI
Male,55-64,NHW,0.406,0,25,6164956.627,2,4,1,29,AA_medBMI
Male,55-64,NHB,1.716,0,87,5071173.999,2,4,2,30,AA_medBMI
Male,55-64,HIS,0.347,0,17,4905449.359,2,4,3,31,AA_medBMI
Male,55-64,OTH,1.089,0,39,3579652.235,2,4,4,32,AA_medBMI
Female,65-74,NHW,0.603,0,32,5303188.496,1,5,1,33,AA_medBMI
Female,65-74,NHB,1.478,0,49,3314492.81,1,5,2,34,AA_medBMI
Female,65-74,HIS,1.646,0,54,3281347.882,1,5,3,35,AA_medBMI
Female,65-74,OTH,3.611,0,79,2187565.255,1,5,4,36,AA_medBMI
Male,65-74,NHW,0.016,0,1,6231246.483,2,5,1,37,AA_medBMI
Male,65-74,NHB,0.156,0,6,3844811.66,2,5,2,38,AA_medBMI
Male,65-74,HIS,0.237,0,7,2949898.601,2,5,3,39,AA_medBMI
Male,65-74,OTH,0.856,0,19,2220710.183,2,5,4,40,AA_medBMI
Female,75+,NHW,0.288,0,21,7291884.182,1,6,1,41,AA_medBMI
Female,75+,NHB,3.802,0,92,2419579.751,1,6,2,42,AA_medBMI
Female,75+,HIS,0.542,0,7,1292652.196,1,6,3,43,AA_medBMI
Female,75+,OTH,0.575,0,8,1392086.98,1,6,4,44,AA_medBMI
Male,75+,NHW,0.338,0,26,7689623.319,2,6,1,45,AA_medBMI
Male,75+,NHB,2.044,0,42,2054985.542,2,6,2,46,AA_medBMI
Male,75+,HIS,4.243,0,45,1060637.699,2,6,3,47,AA_medBMI
Male,75+,OTH,7.672,0,89,1160072.484,2,6,4,48,AA_medBMI
Female,25-34,NHW,0.377,0,18,4772869.646,1,1,1,1,AA_medSBP
Female,25-34,NHB,0.827,0,34,4109971.084,1,1,2,2,AA_medSBP
Female,25-34,HIS,3.23,0,106,3281347.882,1,1,3,3,AA_medSBP
Female,25-34,OTH,5.679,0,224,3944246.444,1,1,4,4,AA_medSBP
Male,25-34,NHW,11.984,0,568,4739724.718,2,1,1,5,AA_medSBP
Male,25-34,NHB,79.254,0,2443,3082478.313,2,1,2,6,AA_medSBP
Male,25-34,HIS,1.448,0,48,3314492.81,2,1,3,7,AA_medSBP
Male,25-34,OTH,3.125,0,116,3712231.947,2,1,4,8,AA_medSBP
Female,35-44,NHW,7.324,0,352,4806014.575,1,2,1,9,AA_medSBP
Female,35-44,NHB,18.592,0,684,3679087.019,1,2,2,10,AA_medSBP
Female,35-44,HIS,23.153,0,1059,4574000.078,1,2,3,11,AA_medSBP
Female,35-44,OTH,74.146,0,2433,3281347.882,1,2,4,12,AA_medSBP
Male,35-44,NHW,0.129,0,5,3877956.588,2,2,1,13,AA_medSBP
Male,35-44,NHB,0.576,0,17,2949898.601,2,2,2,14,AA_medSBP
Male,35-44,HIS,1.358,0,45,3314492.81,2,2,3,15,AA_medSBP
Male,35-44,OTH,1.672,0,51,3049333.385,2,2,4,16,AA_medSBP
Female,45-54,NHW,1.806,0,79,4375130.509,1,3,1,17,AA_medSBP
Female,45-54,NHB,4.861,0,174,3579652.235,1,3,2,18,AA_medSBP
Female,45-54,HIS,0.647,0,24,3712231.947,1,3,3,19,AA_medSBP
Female,45-54,OTH,1.701,0,62,3645942.091,1,3,4,20,AA_medSBP
Male,45-54,NHW,2.414,0,100,4143116.013,2,3,1,21,AA_medSBP
Male,45-54,NHB,3.394,0,117,3447072.522,2,3,2,22,AA_medSBP
Male,45-54,HIS,3.457,0,110,3181913.098,2,3,3,23,AA_medSBP
Male,45-54,OTH,3.201,0,122,3811666.732,2,3,4,24,AA_medSBP
Female,55-64,NHW,0.053,0,3,5634637.777,1,4,1,25,AA_medSBP
Female,55-64,NHB,0.052,0,3,5767217.489,1,4,2,26,AA_medSBP
Female,55-64,HIS,0.151,0,8,5303188.496,1,4,3,27,AA_medSBP
Female,55-64,OTH,0.297,0,13,4375130.509,1,4,4,28,AA_medSBP
Male,55-64,NHW,0.406,0,25,6164956.627,2,4,1,29,AA_medSBP
Male,55-64,NHB,1.716,0,87,5071173.999,2,4,2,30,AA_medSBP
Male,55-64,HIS,0.347,0,17,4905449.359,2,4,3,31,AA_medSBP
Male,55-64,OTH,1.089,0,39,3579652.235,2,4,4,32,AA_medSBP
Female,65-74,NHW,0.603,0,32,5303188.496,1,5,1,33,AA_medSBP
Female,65-74,NHB,1.478,0,49,3314492.81,1,5,2,34,AA_medSBP
Female,65-74,HIS,1.646,0,54,3281347.882,1,5,3,35,AA_medSBP
Female,65-74,OTH,3.611,0,79,2187565.255,1,5,4,36,AA_medSBP
Male,65-74,NHW,0.016,0,1,6231246.483,2,5,1,37,AA_medSBP
Male,65-74,NHB,0.156,0,6,3844811.66,2,5,2,38,AA_medSBP
Male,65-74,HIS,0.237,0,7,2949898.601,2,5,3,39,AA_medSBP
Male,65-74,OTH,0.856,0,19,2220710.183,2,5,4,40,AA_medSBP
Female,75+,NHW,0.288,0,21,7291884.182,1,6,1,41,AA_medSBP
Female,75+,NHB,3.802,0,92,2419579.751,1,6,2,42,AA_medSBP
Female,75+,HIS,0.542,0,7,1292652.196,1,6,3,43,AA_medSBP
Female,75+,OTH,0.575,0,8,1392086.98,1,6,4,44,AA_medSBP
Male,75+,NHW,0.338,0,26,7689623.319,2,6,1,45,AA_medSBP
Male,75+,NHB,2.044,0,42,2054985.542,2,6,2,46,AA_medSBP
Male,75+,HIS,4.243,0,45,1060637.699,2,6,3,47,AA_medSBP
Male,75+,OTH,7.672,0,89,1160072.484,2,6,4,48,AA_medSBP
Female,25-34,NHW,0.021,0,1,4772869.646,1,1,1,1,AFF
Female,25-34,NHB,0.122,0,5,4109971.084,1,1,2,2,AFF
Female,25-34,HIS,0.945,0,31,3281347.882,1,1,3,3,AFF
Female,25-34,OTH,4.259,0,168,3944246.444,1,1,4,4,AFF
Male,25-34,NHW,13.271,0,629,4739724.718,2,1,1,5,AFF
Male,25-34,NHB,334.341,0,10306,3082478.313,2,1,2,6,AFF
Male,25-34,HIS,0.121,0,4,3314492.81,2,1,3,7,AFF
Male,25-34,OTH,0.296,0,11,3712231.947,2,1,4,8,AFF
Female,35-44,NHW,1.685,0,81,4806014.575,1,2,1,9,AFF
Female,35-44,NHB,8.018,0,295,3679087.019,1,2,2,10,AFF
Female,35-44,HIS,16.113,0,737,4574000.078,1,2,3,11,AFF
Female,35-44,OTH,159.751,0,5242,3281347.882,1,2,4,12,AFF
Male,35-44,NHW,0,0,0,3877956.588,2,2,1,13,AFF
Male,35-44,NHB,0.136,0,4,2949898.601,2,2,2,14,AFF
Male,35-44,HIS,0.302,0,10,3314492.81,2,2,3,15,AFF
Male,35-44,OTH,1.115,0,34,3049333.385,2,2,4,16,AFF
Female,45-54,NHW,1.76,0,77,4375130.509,1,3,1,17,AFF
Female,45-54,NHB,13.353,0,478,3579652.235,1,3,2,18,AFF
Female,45-54,HIS,0.027,0,1,3712231.947,1,3,3,19,AFF
Female,45-54,OTH,0.192,0,7,3645942.091,1,3,4,20,AFF
Male,45-54,NHW,0.579,0,24,4143116.013,2,3,1,21,AFF
Male,45-54,NHB,1.683,0,58,3447072.522,2,3,2,22,AFF
Male,45-54,HIS,2.326,0,74,3181913.098,2,3,3,23,AFF
Male,45-54,OTH,5.798,0,221,3811666.732,2,3,4,24,AFF
Female,55-64,NHW,0,0,0,5634637.777,1,4,1,25,AFF
Female,55-64,NHB,0.035,0,2,5767217.489,1,4,2,26,AFF
Female,55-64,HIS,0.075,0,4,5303188.496,1,4,3,27,AFF
Female,55-64,OTH,0.366,0,16,4375130.509,1,4,4,28,AFF
Male,55-64,NHW,0.535,0,33,6164956.627,2,4,1,29,AFF
Male,55-64,NHB,5.876,0,298,5071173.999,2,4,2,30,AFF
Male,55-64,HIS,0,0,0,4905449.359,2,4,3,31,AFF
Male,55-64,OTH,0.056,0,2,3579652.235,2,4,4,32,AFF
Female,65-74,NHW,0.189,0,10,5303188.496,1,5,1,33,AFF
Female,65-74,NHB,0.603,0,20,3314492.81,1,5,2,34,AFF
Female,65-74,HIS,1.067,0,35,3281347.882,1,5,3,35,AFF
Female,65-74,OTH,8.548,0,187,2187565.255,1,5,4,36,AFF
Male,65-74,NHW,0,0,0,6231246.483,2,5,1,37,AFF
Male,65-74,NHB,0.026,0,1,3844811.66,2,5,2,38,AFF
Male,65-74,HIS,0.068,0,2,2949898.601,2,5,3,39,AFF
Male,65-74,OTH,0.36,0,8,2220710.183,2,5,4,40,AFF
Female,75+,NHW,0.247,0,18,7291884.182,1,6,1,41,AFF
Female,75+,NHB,8.39,0,203,2419579.751,1,6,2,42,AFF
Female,75+,HIS,0,0,0,1292652.196,1,6,3,43,AFF
Female,75+,OTH,0,0,0,1392086.98,1,6,4,44,AFF
Male,75+,NHW,0.052,0,4,7689623.319,2,6,1,45,AFF
Male,75+,NHB,0.487,0,10,2054985.542,2,6,2,46,AFF
Male,75+,HIS,3.206,0,34,1060637.699,2,6,3,47,AFF
Male,75+,OTH,8.62,0,100,1160072.484,2,6,4,48,AFF
Female,25-34,NHW,0.021,0,1,4772869.646,1,1,1,1,AFF_medBMI
Female,25-34,NHB,0.122,0,5,4109971.084,1,1,2,2,AFF_medBMI
Female,25-34,HIS,0.945,0,31,3281347.882,1,1,3,3,AFF_medBMI
Female,25-34,OTH,4.259,0,168,3944246.444,1,1,4,4,AFF_medBMI
Male,25-34,NHW,13.271,0,629,4739724.718,2,1,1,5,AFF_medBMI
Male,25-34,NHB,334.341,0,10306,3082478.313,2,1,2,6,AFF_medBMI
Male,25-34,HIS,0.121,0,4,3314492.81,2,1,3,7,AFF_medBMI
Male,25-34,OTH,0.296,0,11,3712231.947,2,1,4,8,AFF_medBMI
Female,35-44,NHW,1.685,0,81,4806014.575,1,2,1,9,AFF_medBMI
Female,35-44,NHB,8.018,0,295,3679087.019,1,2,2,10,AFF_medBMI
Female,35-44,HIS,16.113,0,737,4574000.078,1,2,3,11,AFF_medBMI
Female,35-44,OTH,159.751,0,5242,3281347.882,1,2,4,12,AFF_medBMI
Male,35-44,NHW,0,0,0,3877956.588,2,2,1,13,AFF_medBMI
Male,35-44,NHB,0.136,0,4,2949898.601,2,2,2,14,AFF_medBMI
Male,35-44,HIS,0.302,0,10,3314492.81,2,2,3,15,AFF_medBMI
Male,35-44,OTH,1.115,0,34,3049333.385,2,2,4,16,AFF_medBMI
Female,45-54,NHW,1.76,0,77,4375130.509,1,3,1,17,AFF_medBMI
Female,45-54,NHB,13.353,0,478,3579652.235,1,3,2,18,AFF_medBMI
