subgroup,diseases,count,Grp,population,crude_rate,crude_SE
1,AA,18,25-34y F NHW,4772869.646,0.377,0
2,AA,34,25-34y F NHB,4109971.084,0.827,0
3,AA,106,25-34y F HIS,3281347.882,3.23,0
4,AA,224,25-34y F OTH,3944246.444,5.679,0
5,AA,568,25-34y M NHW,4739724.718,11.984,0
6,AA,2443,25-34y M NHB,3082478.313,79.254,0
7,AA,48,25-34y M HIS,3314492.81,1.448,0
8,AA,116,25-34y M OTH,3712231.947,3.125,0
9,AA,352,35-44y F NHW,4806014.575,7.324,0
10,AA,684,35-44y F NHB,3679087.019,18.592,0
11,AA,1059,35-44y F HIS,4574000.078,23.153,0
12,AA,2433,35-44y F OTH,3281347.882,74.146,0
13,AA,5,35-44y M NHW,3877956.588,0.129,0
14,AA,17,35-44y M NHB,2949898.601,0.576,0
15,AA,45,35-44y M HIS,3314492.81,1.358,0
16,AA,51,35-44y M OTH,3049333.385,1.672,0
17,AA,79,45-54y F NHW,4375130.509,1.806,0
18,AA,174,45-54y F NHB,3579652.235,4.861,0
19,AA,24,45-54y F HIS,3712231.947,0.647,0
20,AA,62,45-54y F OTH,3645942.091,1.701,0
21,AA,100,45-54y M NHW,4143116.013,2.414,0
22,AA,117,45-54y M NHB,3447072.522,3.394,0
23,AA,110,45-54y M HIS,3181913.098,3.457,0
24,AA,122,45-54y M OTH,3811666.732,3.201,0
25,AA,3,55-64y F NHW,5634637.777,0.053,0
26,AA,3,55-64y F NHB,5767217.489,0.052,0
27,AA,8,55-64y F HIS,5303188.496,0.151,0
28,AA,13,55-64y F OTH,4375130.509,0.297,0
29,AA,25,55-64y M NHW,6164956.627,0.406,0
30,AA,87,55-64y M NHB,5071173.999,1.716,0
31,AA,17,55-64y M HIS,4905449.359,0.347,0
32,AA,39,55-64y M OTH,3579652.235,1.089,0
33,AA,32,65-74y F NHW,5303188.496,0.603,0
34,AA,49,65-74y F NHB,3314492.81,1.478,0
35,AA,54,65-74y F HIS,3281347.882,1.646,0
36,AA,79,65-74y F OTH,2187565.255,3.611,0
37,AA,1,65-74y M NHW,6231246.483,0.016,0
38,AA,6,65-74y M NHB,3844811.66,0.156,0
39,AA,7,65-74y M HIS,2949898.601,0.237,0
40,AA,19,65-74y M OTH,2220710.183,0.856,0
41,AA,21,75y+ F NHW,7291884.182,0.288,0
42,AA,92,75y+ F NHB,2419579.751,3.802,0
43,AA,7,75y+ F HIS,1292652.196,0.542,0
44,AA,8,75y+ F OTH,1392086.98,0.575,0
45,AA,26,75y+ M NHW,7689623.319,0.338,0
46,AA,42,75y+ M NHB,2054985.542,2.044,0
47,AA,45,75y+ M HIS,1060637.699,4.243,0
48,AA,89,75y+ M OTH,1160072.484,7.672,0
1,AA_medBMI,18,25-34y F NHW,4772869.646,0.377,0
2,AA_medBMI,34,25-34y F NHB,4109971.084,0.827,0
3,AA_medBMI,106,25-34y F HIS,3281347.882,3.23,0
4,AA_medBMI,224,25-34y F OTH,3944246.444,5.679,0
5,AA_medBMI,568,25-34y M NHW,4739724.718,11.984,0
6,AA_medBMI,2443,25-34y M NHB,3082478.313,79.254,0
7,AA_medBMI,48,25-34y M HIS,3314492.81,1.448,0
