subgroup,Grp,Age,Age_label,Sex,Sex_label,Race,Race_label,CancerSites,count,population,crude_rate,crude_SE
1,25-34y F NHW,1,25-34,1,Female,1,NHW,Esophagus,31,12700000,0.245,0.062
2,25-34y F NHB,1,25-34,1,Female,2,NHB,Esophagus,0,3270273,0,0
3,25-34y F HIS,1,25-34,1,Female,3,HIS,Esophagus,0,4838552,0,0
4,25-34y F OTH,1,25-34,1,Female,4,OTH,Esophagus,0,2560333,0,0
5,25-34y M NHW,1,25-34,2,Male,1,NHW,Esophagus,179,12100000,1.481,0.155
6,25-34y M NHB,1,25-34,2,Male,2,NHB,Esophagus,0,3226343,0,0
7,25-34y M HIS,1,25-34,2,Male,3,HIS,Esophagus,0,5113576,0,0
8,25-34y M OTH,1,25-34,2,Male,4,OTH,Esophagus,0,2480441,0,0
9,35-44y F NHW,2,35-44,1,Female,1,NHW,Esophagus,31,12700000,0.245,0.062
10,35-44y F NHB,2,35-44,1,Female,2,NHB,Esophagus,0,3270273,0,0
11,35-44y F HIS,2,35-44,1,Female,3,HIS,Esophagus,0,4838552,0,0
12,35-44y F OTH,2,35-44,1,Female,4,OTH,Esophagus,0,2560333,0,0
13,35-44y M NHW,2,35-44,2,Male,1,NHW,Esophagus,179,12100000,1.481,0.155
14,35-44y M NHB,2,35-44,2,Male,2,NHB,Esophagus,0,3226343,0,0
15,35-44y M HIS,2,35-44,2,Male,3,HIS,Esophagus,0,5113576,0,0
16,35-44y M OTH,2,35-44,2,Male,4,OTH,Esophagus,0,2480441,0,0
17,45-54y F NHW,3,45-54,1,Female,1,NHW,Esophagus,217,14700000,1.473,0.14
18,45-54y F NHB,3,45-54,1,Female,2,NHB,Esophagus,88,2885488,3.05,0.458
19,45-54y F HIS,3,45-54,1,Female,3,HIS,Esophagus,0,216594,0,0
20,45-54y F OTH,3,45-54,1,Female,4,OTH,Esophagus,0,87248,0,0
21,45-54y M NHW,3,45-54,2,Male,1,NHW,Esophagus,1103,14500000,7.587,0.32
22,45-54y M NHB,3,45-54,2,Male,2,NHB,Esophagus,155,2549908,6.079,0.689
23,45-54y M HIS,3,45-54,2,Male,3,HIS,Esophagus,75,2889681,2.595,0.44
24,45-54y M OTH,3,45-54,2,Male,4,OTH,Esophagus,34,1109784,3.064,0.745
25,55-64y F NHW,4,55-64,1,Female,1,NHW,Esophagus,602,14700000,4.106,0.238
26,55-64y F NHB,4,55-64,1,Female,2,NHB,Esophagus,143,2394848,5.971,0.713
27,55-64y F HIS,4,55-64,1,Female,3,HIS,Esophagus,19,901355,2.108,0.521
28,55-64y F OTH,4,55-64,1,Female,4,OTH,Esophagus,0,0,0,0
29,55-64y M NHW,4,55-64,2,Male,1,NHW,Esophagus,2952,14000000,21.11,0.554
30,55-64y M NHB,4,55-64,2,Male,2,NHB,Esophagus,394,2000803,19.692,1.423
31,55-64y M HIS,4,55-64,2,Male,3,HIS,Esophagus,176,1713053,10.274,1.13
32,55-64y M OTH,4,55-64,2,Male,4,OTH,Esophagus,61,852728,7.154,1.311
33,65-74y F NHW,5,65-74,1,Female,1,NHW,Esophagus,1814,19500000,9.283,0.502
34,65-74y F NHB,5,65-74,1,Female,2,NHB,Esophagus,221,2329909,9.485,1.476
35,65-74y F HIS,5,65-74,1,Female,3,HIS,Esophagus,80,1603518,4.989,1.238
36,65-74y F OTH,5,65-74,1,Female,4,OTH,Esophagus,0,22029,0,0
37,65-74y M NHW,5,65-74,2,Male,1,NHW,Esophagus,6312,15600000,40.55,1.166
38,65-74y M NHB,5,65-74,2,Male,2,NHB,Esophagus,501,1542829,32.473,3.231
39,65-74y M HIS,5,65-74,2,Male,3,HIS,Esophagus,319,1354832,23.545,3.091
40,65-74y M OTH,5,65-74,2,Male,4,OTH,Esophagus,130,785711,16.546,3.475
41,75y+ F NHW,6,75+,1,Female,1,NHW,Esophagus,1814,19500000,9.283,0.502
42,75y+ F NHB,6,75+,1,Female,2,NHB,Esophagus,221,2329909,9.485,1.476
43,75y+ F HIS,6,75+,1,Female,3,HIS,Esophagus,80,1603518,4.989,1.238
44,75y+ F OTH,6,75+,1,Female,4,OTH,Esophagus,0,22029,0,0
45,75y+ M NHW,6,75+,2,Male,1,NHW,Esophagus,6312,15600000,40.55,1.166
46,75y+ M NHB,6,75+,2,Male,2,NHB,Esophagus,501,1542829,32.473,3.231
47,75y+ M HIS,6,75+,2,Male,3,HIS,Esophagus,319,1354832,23.545,3.091
48,75y+ M OTH,6,75+,2,Male,4,OTH,Esophagus,130,785711,16.546,3.475
1,25-34y F NHW,1,25-34,1,Female,1,NHW,Lung and Bronchus,975,30600000,3.191,0.227
2,25-34y F NHB,1,25-34,1,Female,2,NHB,Lung and Bronchus,175,4213789,4.153,0.546
3,25-34y F HIS,1,25-34,1,Female,3,HIS,Lung and Bronchus,102,5938136,1.718,0.317
4,25-34y F OTH,1,25-34,1,Female,4,OTH,Lung and Bronchus,78,1626777,4.795,0.796
5,25-34y M NHW,1,25-34,2,Male,1,NHW,Lung and Bronchus,839,24600000,3.412,0.234
6,25-34y M NHB,1,25-34,2,Male,2,NHB,Lung and Bronchus,162,3782094,4.283,0.586
7,25-34y M HIS,1,25-34,2,Male,3,HIS,Lung and Bronchus,95,4307444,2.205,0.352
8,25-34y M OTH,1,25-34,2,Male,4,OTH,Lung and Bronchus,44,879151,5.005,0.866
9,35-44y F NHW,2,35-44,1,Female,1,NHW,Lung and Bronchus,975,30600000,3.191,0.227
10,35-44y F NHB,2,35-44,1,Female,2,NHB,Lung and Bronchus,175,4213789,4.153,0.546
11,35-44y F HIS,2,35-44,1,Female,3,HIS,Lung and Bronchus,102,5938136,1.718,0.317
12,35-44y F OTH,2,35-44,1,Female,4,OTH,Lung and Bronchus,78,1626777,4.795,0.796
13,35-44y M NHW,2,35-44,2,Male,1,NHW,Lung and Bronchus,839,24600000,3.412,0.234
14,35-44y M NHB,2,35-44,2,Male,2,NHB,Lung and Bronchus,162,3782094,4.283,0.586
15,35-44y M HIS,2,35-44,2,Male,3,HIS,Lung and Bronchus,95,4307444,2.205,0.352
16,35-44y M OTH,2,35-44,2,Male,4,OTH,Lung and Bronchus,44,879151,5.005,0.866
17,45-54y F NHW,3,45-54,1,Female,1,NHW,Lung and Bronchus,6366,14700000,43.217,0.757
18,45-54y F NHB,3,45-54,1,Female,2,NHB,Lung and Bronchus,1186,2885488,41.102,1.682
