foodcode,description,fcidcode,fcid_desc,Foodgroup_FCID
11710638,"Infant formula, powder, made with plain bottled water (Enfamil Infant)",2002365001,"Sunflower, oil-babyfood",babyfood
11710638,"Infant formula, powder, made with plain bottled water (Enfamil Infant)",1400114001,"Coconut, oil-babyfood",babyfood
11710638,"Infant formula, powder, made with plain bottled water (Enfamil Infant)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
11710638,"Infant formula, powder, made with plain bottled water (Enfamil Infant)",3600225001,"Milk, sugar (lactose)-baby food/infant formula",babyfood
11710638,"Infant formula, powder, made with plain bottled water (Enfamil Infant)",600350001,"Soybean, oil-babyfood",babyfood
11710638,"Infant formula, powder, made with plain bottled water (Enfamil Infant)",9500244001,"Palm, oil-babyfood",babyfood
76209010,"Sweet potatoes, baby food, strained",103366001,Sweet potato-babyfood,babyfood
67109020,"Pears, baby food, junior",1100266001,Pear-babyfood,babyfood
67109020,"Pears, baby food, junior",1100268001,"Pear, juice-babyfood",babyfood
27640050,"Chicken and rice dinner, baby food, strained",101078001,Carrot-babyfood,babyfood
27640050,"Chicken and rice dinner, baby food, strained",4000097001,"Chicken, skin-babyfood",babyfood
27640050,"Chicken and rice dinner, baby food, strained",602255001,"Pea, succulent-babyfood",babyfood
27640050,"Chicken and rice dinner, baby food, strained",4000093001,"Chicken, meat-babyfood",babyfood
27640050,"Chicken and rice dinner, baby food, strained",1500323001,"Rice, white-babyfood",babyfood
27640050,"Chicken and rice dinner, baby food, strained",4000096001,"Chicken, fat-babyfood",babyfood
27640050,"Chicken and rice dinner, baby food, strained",4000095001,"Chicken, meat byproducts-babyfood",babyfood
54350010,"Gerber Finger Foods, Puffs, baby food",101052001,"Beet, sugar-babyfood",babyfood
54350010,"Gerber Finger Foods, Puffs, baby food",1500120001,"Corn, field, flour-babyfood",babyfood
54350010,"Gerber Finger Foods, Puffs, baby food",1500232001,"Oat, flour-babyfood",babyfood
54350010,"Gerber Finger Foods, Puffs, baby food",1500325001,"Rice, flour-babyfood",babyfood
54350010,"Gerber Finger Foods, Puffs, baby food",1902105001,Cinnamon-babyfood,babyfood
54350010,"Gerber Finger Foods, Puffs, baby food",1100010001,"Apple, juice-babyfood",babyfood
