disease_group,outcome,outcome_label,ICD-10,notes,,,,,
Cancer,ALL,All Invasive Cancer Sites Combined,,just use this as a double check,,,,,
Cancer,CC,Colon and Rectum,,,,,,,
Cancer,UC,Corpus Uteri,,,,,,,
Cancer,ECA,Esophagus: Adenomas and adenocarcinomas,,this is a subset of esophagus cancer,,,,,
Cancer,BC,Female Breast (post-menopause),,we calculated postmenopausal breast cancer (look at memo - maybe),,,,,>51
Cancer,GC,Gallbladder,,,,,,,
Cancer,KC,Kidney and Renal Pelvis,,,,,,,
Cancer,Larynx,Larynx,,"will be combined with ""oral cavity and pharynx"" as combined group",,,,,
Cancer,LVC,Liver and Intrahepatic Bile Duct,,,,,,,
Cancer,LC,Lung and Bronchus,,,,,,,
Cancer,MC,meningiomas: meningiomas,,,,,,,
Cancer,MMC,Myeloma: Multiple myeloma/plasma-cell leuk,,,,,,,
Cancer,MLPC,"Mouth, Larynx, and Pharynx Cancers",,,,,,,
Cancer,OC,Ovary,,,,,,,
Cancer,PC,Pancreas,,,,,,,
Cancer,APCA,Prostate (advanced),,we created this variable (subset of prostate cancer),,,,,
Cancer,SCC,Stomach Cardia,,this is a subset of stomach cancer,,,,,
Cancer,SCNC,Stomach Non-Cardia,,this is a subset of stomach cancer,,,c16.1-6:https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6005150/,,
Cancer,TC,Thyroid,,,,,,,
CVD,IHD,Ischemic heart disease,I20‐I25,,,,,,
CVD,ISTK,Ischemic stroke,"I63, I65‐I67 (except I67.4), I69.3, G45",,,,,,
CVD,HSTK,Hemorrhagic stroke,"I60‐I62, I69.0‐I69.2, I67.4",,,,,,
CVD,OSTK,Other stroke,"I64, I69.4, I69.8",,,,,,
CVD,DIAB,"Diabetes, type 2","E10‐E14 (except E10.2, E11.2, E12.2, E13.2)",,,,,,
CVD,HHD,Hypertensive heart disease,I11,,,,,,
CVD,AA,Aortic aneurysm,I71,,,,,,
CVD,RHD,Rheumatic heart disease,"I01, I02.0, I05‐I09",,,,,,
CVD,ENDO,Endocarditis,I33,,,,,,
CVD,OTH,Other cardiovascular and circulatory diseases,"I00, I02.9, I27‐I28 (except I27.1), I30‐I32 (except I31.2, I31.3), I34‐I39, I47, I70.8, I72, I77‐I80, I82‐I84, I86‐I98",,,,,,
CVD,CM,Cardiomyopathy and myocarditis,"I42, I40",,,,,,
CVD,AFF,Atrial fibrillation and flutter,I48,,,,,,
CVD,PVD,Peripheral vascular disease,"I73, I70.2",,,,,,
CVD,TSTK,Total strokes,"I63, I65‐I67 (except I67.4), I69.3, G45, I60‐I62, I69.0‐I69.2, I67.4, I64, I69.4, I69.8",,,,,,
