,food_group,effect_mean,effect_mean_lb,effect_mean_ub,effect_mean_se
1,fruit,-0.03,-0.04,-0.01,0.007653202
2,gr_whole,-0.03,-0.04,-0.01,0.007653202
3,pf_pm,-0.03,-0.04,-0.01,0.007653202
4,pf_redm,-0.03,-0.04,-0.01,0.007653202
5,ssb,-0.03,-0.04,-0.01,0.007653202
6,sodium,-0.03,-0.04,-0.01,0.007653202
7,added_sugar,-0.03,-0.04,-0.01,0.007653202
8,dairy,-0.03,-0.04,-0.01,0.007653202
9,gr_refined,-0.03,-0.04,-0.01,0.007653202
10,oil,-0.03,-0.04,-0.01,0.007653202
11,pf_egg,-0.03,-0.04,-0.01,0.007653202
12,pf_leg,-0.03,-0.04,-0.01,0.007653202
13,pf_ns,-0.03,-0.04,-0.01,0.007653202
14,pf_pm,-0.03,-0.04,-0.01,0.007653202
15,pf_poultry,-0.03,-0.04,-0.01,0.007653202
16,pf_seafood,-0.03,-0.04,-0.01,0.007653202
17,pf_soy,-0.03,-0.04,-0.01,0.007653202
18,sat_fat,-0.03,-0.04,-0.01,0.007653202
19,veg_dg,-0.03,-0.04,-0.01,0.007653202
20,veg_leg,-0.03,-0.04,-0.01,0.007653202
21,veg_oth,-0.03,-0.04,-0.01,0.007653202
22,veg_ro,-0.03,-0.04,-0.01,0.007653202
23,veg_sta,-0.03,-0.04,-0.01,0.007653202
24,veg_exc_sta,-0.03,-0.04,-0.01,0.007653202
25,fruit_exc_juice,-0.03,-0.04,-0.01,0.007653202
26,sea_omega3_fa,-0.03,-0.04,-0.01,0.007653202
27,fiber,-0.03,-0.04,-0.01,0.007653202
28,pf_animal,-0.03,-0.04,-0.01,0.007653202
29,pf_plant,-0.03,-0.04,-0.01,0.007653202
30,pufa_rep_carb,-0.03,-0.04,-0.01,0.007653202
31,pufa_rep_sfa,-0.03,-0.04,-0.01,0.007653202
32,pufa_rep_carbsfa,-0.03,-0.04,-0.01,0.007653202
33,babyfood,-0.03,-0.04,-0.01,0.007653202
34,coffee_tea,-0.03,-0.04,-0.01,0.007653202
35,other,-0.03,-0.04,-0.01,0.007653202
36,water,-0.03,-0.04,-0.01,0.007653202
