risk_factor,subgroup,Age,Sex,Race,IHD,IHDse,ISTK,ISTKse,HHD,HHDse,DIAB,DIABse,HSTK,HSTKse,OSTK,OSTKse,AA,AAse,RHD,RHDse,ENDO,ENDOse,OTH,OTHse,CM,CMse,AFF,AFFse,PVD,PVDse,TSTK,TSTKse
BMI,1,1,1,1,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916
BMI,2,1,1,2,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916
BMI,3,1,1,3,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916
BMI,4,1,1,4,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916
BMI,5,1,2,1,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916
BMI,6,1,2,2,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916
BMI,7,1,2,3,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916
BMI,8,1,2,4,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916,0.581972067,0.070717916
BMI,9,2,1,1,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044
BMI,10,2,1,2,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044
