subgroup,food,N,mean,SE,StdDev,food_label,food_desc,pro_gro
1,added_sugar,381,15.68,0.65,8.03,Added sugars,Foods defined as added sugars (tsp. eq.),0.5497470044514924
1,dairy_cow,381,1.5,0.05,0.6,Cow-based dairy,"Milk, yogurt, cheese, and whey (cup ep.)",0.6425331457644052
1,dairy_soy,381,0.02,0.01,0.11,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),0.9539773850550048
1,dairy_tot,381,1.51,0.05,0.59,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6431143673123824
1,fruit_exc_juice,381,0.71,0.05,0.56,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8597521873111552
1,fruit_juice,381,0.2,0.03,0.29,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.7501230988505475
1,fruit_tot,381,0.87,0.06,0.65,Fruits,Total intact fruits (whole or cut) and fruit juices (cup eq.),0.8405331343830817
1,gr_refined,381,5.33,0.14,1.61,Refined grains,Refined grains that do not contain all of the components of the entire grain kernel (oz. eq.),0.5746620746930159
1,gr_whole,381,0.95,0.07,0.63,Whole grains,"Grains defined as whole grains and contain the entire grain kernel ― the bran, germ, and endosperm (oz. eq.)",0.8612942400153109
1,leg_tot,381,0.49,0.04,0.45,"Beans, peas, lentils (total)","Beans and Peas (legumes) computed as protein foods (oz. eq.); Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.)",0.6546385114031346
1,oil,381,29.61,0.97,7.77,Oils,"Fats naturally present in nuts, seeds, and seafood; all unhydrogenated vegetable oils, except palm oil, palm kernel oil, and coconut oils; the fat present in avocado and olives above the allowable amount; 50% of the fat present in stick and tub margarines and margarine spreads (grams)",0.5751362017268052
1,pf_egg,381,0.71,0.07,0.65,Eggs,"Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.)",0.7592182097825771
1,pf_ns,381,0.65,0.06,0.7,Nuts and seeds,"Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)",0.7665106809367823
1,pf_pm,381,0.81,0.06,0.48,Processed meat,"Frankfurters, sausages, corned beef, cured ham and luncheon meat that are made from beef, pork, or poultry (oz. eq.)",0.7217090975464093
1,pf_poultry,381,1.42,0.1,0.71,Unprocessed poultry,"Chicken, turkey, Cornish hens, duck, goose, quail, and pheasant (game birds); excludes organ meat and cured meat (oz. eq.)",0.5646778787845619
1,pf_redm,381,1.32,0.07,0.61,Unprocessed red meat,"Beef, veal, pork, lamb, and game meat; excludes organ meat and cured meat (oz. eq.)",0.5954703795791705
1,pf_redm_tot,381,1.84,0.09,0.81,Unprocessed and processed red meat,Combination of ‘uncured red meat’ and ‘cured red meat’,0.6109982335034863
1,pf_seafood,381,0.53,0.07,0.55,Seafood,"Seafood (finfish, shellfish, and other seafood) high in n-3 fatty acids (oz. eq.); Seafood (finfish, shellfish, and other seafood) low in n-3 fatty acids (oz. eq.)",0.5922591629945505
1,sat_fat,381,27.01,0.48,4.49,Saturated fats,Total saturated fatty acids (gm),0.6045287903272768
1,sodium,381,3532.02,64.74,616.9,Sodium,Sodium (mg),0.593857618902115
1,ssb,381,341.4,30.91,294.66,Sugar sweetened beverages,Sugar sweetened beverages (gm),0.44881966059985784
1,veg_dg,381,0.17,0.02,0.19,Dark-green vegetables,Dark green vegetables (cup eq.),0.6893130596881292
1,veg_exc_sta,381,1.11,0.06,0.53,Vegetables excluding starchy,"Dark green vegetables (cup eq.); Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.); Other vegetables not in the vegetable components listed above (cup eq.)",0.6482037372591243
1,veg_oth,381,0.52,0.03,0.24,Other vegetables,Other vegetables not in the vegetable components listed above (cup eq.),0.629670723675308
1,veg_ro,381,0.35,0.02,0.15,Red and orange vegetables,"Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.)",0.6529636619235023
1,veg_sta,381,0.47,0.03,0.22,Starchy vegetables,Total starchy vegetables (white potatoes + other starchy vegetables) (cup eq.),0.6308539545802649
10,added_sugar,199,19.63,1.03,9.26,Added sugars,Foods defined as added sugars (tsp. eq.),0.5891687447748173
10,dairy_cow,199,1.09,0.06,0.48,Cow-based dairy,"Milk, yogurt, cheese, and whey (cup ep.)",0.5637985494066772
10,dairy_soy,199,0.05,0.03,0.24,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),0.947140023866828
10,dairy_tot,199,1.1,0.06,0.48,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.5674688054394768
10,fruit_exc_juice,199,0.54,0.04,0.46,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8230388594609903
10,fruit_juice,199,0.32,0.06,0.45,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.6983567032083468
10,fruit_tot,199,0.85,0.07,0.63,Fruits,Total intact fruits (whole or cut) and fruit juices (cup eq.),0.7681193699935788
10,gr_refined,199,5.13,0.21,1.58,Refined grains,Refined grains that do not contain all of the components of the entire grain kernel (oz. eq.),0.5210177929933639
10,gr_whole,199,0.85,0.07,0.57,Whole grains,"Grains defined as whole grains and contain the entire grain kernel ― the bran, germ, and endosperm (oz. eq.)",0.7654195165360849
10,leg_tot,199,0.4,0.07,0.38,"Beans, peas, lentils (total)","Beans and Peas (legumes) computed as protein foods (oz. eq.); Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.)",0.5498851080240937
10,oil,199,30.85,1.34,7.93,Oils,"Fats naturally present in nuts, seeds, and seafood; all unhydrogenated vegetable oils, except palm oil, palm kernel oil, and coconut oils; the fat present in avocado and olives above the allowable amount; 50% of the fat present in stick and tub margarines and margarine spreads (grams)",0.4863835989667009
10,pf_egg,199,0.52,0.08,0.48,Eggs,"Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.)",0.6416123888048152
