subgroup,Age,Sex,Race,diseases,count,crude_se,population,Age_label,Sex_label,Race_label
1,1,1,1,AA,20,0,18192633,20-34,Female,NHW
2,1,1,2,AA,13,0,4596338,20-34,Female,NHB
3,1,1,3,AA,9,0,6549965,20-34,Female,HIS
4,1,1,4,AA,4,0,3878604,20-34,Female,OTH
5,1,2,1,AA,45,0,19295314,20-34,Male,NHW
6,1,2,2,AA,27,0,4186659,20-34,Male,NHB
7,1,2,3,AA,20,0,6886181,20-34,Male,HIS
8,1,2,4,AA,9,0,3785306,20-34,Male,OTH
9,2,1,1,AA,44,0,10789518,35-44,Female,NHW
10,2,1,2,AA,25,0,2841551,35-44,Female,NHB
11,2,1,3,AA,9,0,4706043,35-44,Female,HIS
12,2,1,4,AA,8,0,2705155,35-44,Female,OTH
13,2,2,1,AA,134,0,10698668,35-44,Male,NHW
14,2,2,2,AA,86,0,2373836,35-44,Male,NHB
15,2,2,3,AA,29,0,4477083,35-44,Male,HIS
16,2,2,4,AA,12,0,2268050,35-44,Male,OTH
17,3,1,1,AA,91,0,12961330,45-54,Female,NHW
18,3,1,2,AA,44,0,2294986,45-54,Female,NHB
19,3,1,3,AA,13,0,2981376,45-54,Female,HIS
20,3,1,4,AA,9,0,1908325,45-54,Female,OTH
21,3,2,1,AA,282,0,10622756,45-54,Male,NHW
22,3,2,2,AA,108,0,2323392,45-54,Male,NHB
23,3,2,3,AA,60,0,3207152,45-54,Male,HIS
24,3,2,4,AA,23,0,2807268,45-54,Male,OTH
25,4,1,1,AA,244,0,16626401,55-64,Female,NHW
26,4,1,2,AA,81,0,3005374,55-64,Female,NHB
27,4,1,3,AA,22,0,2911586,55-64,Female,HIS
28,4,1,4,AA,15,0,2629488,55-64,Female,OTH
29,4,2,1,AA,774,0,15564860,55-64,Male,NHW
30,4,2,2,AA,172,0,2050599,55-64,Male,NHB
31,4,2,3,AA,83,0,2832735,55-64,Male,HIS
32,4,2,4,AA,40,0,2195076,55-64,Male,OTH
33,5,1,1,AA,603,0,11513863,65-74,Female,NHW
34,5,1,2,AA,108,0,1390166,65-74,Female,NHB
35,5,1,3,AA,32,0,1616432,65-74,Female,HIS
36,5,1,4,AA,28,0,1089947,65-74,Female,OTH
37,5,2,1,AA,1143,0,10345066,65-74,Male,NHW
38,5,2,2,AA,125,0,1099252,65-74,Male,NHB
39,5,2,3,AA,63,0,1168063,65-74,Male,HIS
40,5,2,4,AA,53,0,989548,65-74,Male,OTH
41,6,1,1,AA,2333,0,9145660,75+,Female,NHW
42,6,1,2,AA,215,0,1249362,75+,Female,NHB
43,6,1,3,AA,92,0,737080,75+,Female,HIS
44,6,1,4,AA,92,0,689818,75+,Female,OTH
45,6,2,1,AA,2128,0,6831819,75+,Male,NHW
46,6,2,2,AA,112,0,670963,75+,Male,NHB
47,6,2,3,AA,115,0,548525,75+,Male,HIS
48,6,2,4,AA,90,0,638884,75+,Male,OTH
1,1,1,1,AA_medBMI,20,0,18192633,20-34,Female,NHW
2,1,1,2,AA_medBMI,13,0,4596338,20-34,Female,NHB
3,1,1,3,AA_medBMI,9,0,6549965,20-34,Female,HIS
4,1,1,4,AA_medBMI,4,0,3878604,20-34,Female,OTH
5,1,2,1,AA_medBMI,45,0,19295314,20-34,Male,NHW
6,1,2,2,AA_medBMI,27,0,4186659,20-34,Male,NHB
7,1,2,3,AA_medBMI,20,0,6886181,20-34,Male,HIS
8,1,2,4,AA_medBMI,9,0,3785306,20-34,Male,OTH
9,2,1,1,AA_medBMI,44,0,10789518,35-44,Female,NHW
10,2,1,2,AA_medBMI,25,0,2841551,35-44,Female,NHB
11,2,1,3,AA_medBMI,9,0,4706043,35-44,Female,HIS
12,2,1,4,AA_medBMI,8,0,2705155,35-44,Female,OTH
13,2,2,1,AA_medBMI,134,0,10698668,35-44,Male,NHW
14,2,2,2,AA_medBMI,86,0,2373836,35-44,Male,NHB
15,2,2,3,AA_medBMI,29,0,4477083,35-44,Male,HIS
16,2,2,4,AA_medBMI,12,0,2268050,35-44,Male,OTH
17,3,1,1,AA_medBMI,91,0,12961330,45-54,Female,NHW
18,3,1,2,AA_medBMI,44,0,2294986,45-54,Female,NHB
19,3,1,3,AA_medBMI,13,0,2981376,45-54,Female,HIS
