foodcode,description
27510233,"Cheeseburger, 1 medium patty, with condiments, on bun, from fast food / restaurant (Wendy's 1/4 lb Single with cheese)"
27540250,"Chicken fillet, broiled, sandwich with cheese, on whole wheat roll, with lettuce, tomato and non-mayonnaise type spread"
55200070,"Waffle, whole grain, reduced fat, from frozen"
32130830,"Egg omelet or scrambled egg, with meat and dark-green vegetables, fat added in cooking"
58146391,"Pasta with cream sauce and added vegetables, restaurant"
58146301,"Pasta with tomato-based sauce, and added vegetables, restaurant"
27540300,"Wrap sandwich filled with broiled chicken strips, cheese, lettuce, and spread"
58146372,"Pasta with tomato-based sauce, seafood, and added vegetables, home recipe"
32131100,"Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, fat not added in cooking"
27564370,"Frankfurter or hot dog sandwich, fat free, plain, on white bread"
55502000,Flour and water gravy
53385500,"Pie, oatmeal"
27564200,"Frankfurter or hot dog sandwich, meat and poultry, plain, on wheat bread"
27440130,"Chicken or turkey shish kabob with vegetables, excluding potatoes"
55100065,"Pancakes, whole grain, from fast food / restaurant"
26109110,"Cod, cooked, NS as to cooking method"
32202000,"Egg, cheese, ham, and bacon on bun"
27564001,"Frankfurter or hot dog sandwich, NFS, plain, on wheat bun"
61110010,"Kumquat, raw"
27564250,"Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on white bread"
27450750,"Fish and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce"
27250120,"Shrimp and noodles, no sauce"
58409000,"Noodle soup, with fish ball, shrimp, and dark green leafy vegetable"
27450740,"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
51808010,"Bread, gluten free, toasted"
11000000,"Milk, human"
27450420,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce"
22707010,"Pork, pig's feet, cooked"
58146362,"Pasta with tomato-based sauce and seafood, home recipe"
58150310,"Rice, fried, NFS"
13210500,"Pudding, tapioca, made from home recipe, made with milk"
75142550,"Cucumber salad, made with Italian dressing"
27510253,"Cheeseburger, 1 medium patty, with condiments, on whole wheat bun"
58116110,"Meat turnover, Puerto Rican style"
26105120,"Carp, baked or broiled, fat added in cooking"
21417110,"Beef brisket, cooked, lean and fat eaten"
71401041,"Potato, french fries, with cheese, school"
27510261,"Cheeseburger, 1 large patty, plain, on bun, from fast food / restaurant"
27211110,"Beef stew with potatoes, tomato-based sauce, Mexican style"
75216102,"Corn, yellow, cooked, from frozen, NS as to fat added in cooking"
27146200,Chicken or turkey with cheese sauce
75216323,"Corn, yellow, canned, low sodium, made with margarine"
11513393,"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)"
75204031,"Beans, lima, immature, cooked, from frozen, made with butter"
75224132,"Peas, green, canned, low sodium, made with butter"
32400710,"Egg white, omelet, scrambled, or fried, with cheese, meat, and vegetables, fat not added in cooking"
75142000,Cucumber and vegetable namasu
32130300,"Egg omelet or scrambled egg, with cheese and meat, made with margarine"
75204971,"Beans, string, cooked, from canned, NS as to color, made with margarine"
53103000,"Cake, Boston cream pie"
75140500,"Broccoli salad with cauliflower, cheese, bacon bits, and dressing"
67109020,"Pears, baby food, junior"
57822000,"Mixed cereal with applesauce and bananas, baby food, jarred"
26315110,"Oysters, cooked, NS as to cooking method"
27246300,"Chicken or turkey cake, patty, or croquette"
67414100,"Mango dessert, baby food"
93301040,Daiquiri
14104115,"Cheese, Cheddar, nonfat or fat free"
24123110,"Chicken breast, stewed, skin eaten"
92191200,"Coffee, instant, decaffeinated, not reconstituted"
26151160,"Trout, steamed or poached"
93301200,Pina Colada
23322300,"Deer chop, cooked"
14640030,"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise"
21103110,"Beef steak, breaded or floured, baked or fried, NS as to fat eaten"
92102030,"Frozen mocha coffee drink, with whipped cream"
75216103,"Corn, yellow, cooked, from canned, NS as to fat added in cooking"
75221001,"Onions, cooked, from fresh, NS as to fat added in cooking"
73102214,"Carrots, cooked, NS as to form, made with oil"
41304980,"Lentils, dry, cooked, NS as to fat added in cooking"
27112000,Beef with gravy
71703990,Stewed potatoes
74603010,"Tomato beef soup, prepared with water"
92102600,"Coffee, Iced Cafe Mocha"
75219020,"Mushrooms, cooked, NS as to form, fat added in cooking, NS asa to type of fat"
75205030,"Beans, string, green, cooked, NS as to form, fat added in cooking, NS as to type of fat"
24147302,"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw"
27564064,"Frankfurter or hot dog sandwich, beef, plain, on multigrain bun"
