Notes	Ten-Year Age Groups	Ten-Year Age Groups Code	Gender	Gender Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	25-34 years	25-34	Female	F	74	15986667	0.5	0.4	0.6	0.1	5.20%
	25-34 years	25-34	Male	M	62	16328889	0.4	0.3	0.5	0	4.30%
Total	25-34 years	25-34			136	32315556	0.4	0.4	0.5	0	9.50%
	35-44 years	35-44	Female	F	60	14635729	0.4	0.3	0.5	0.1	4.20%
	35-44 years	35-44	Male	M	79	14488150	0.5	0.4	0.7	0.1	5.50%
Total	35-44 years	35-44			139	29123879	0.5	0.4	0.6	0	9.70%
	45-54 years	45-54	Female	F	56	15965397	0.4	0.3	0.5	0	3.90%
	45-54 years	45-54	Male	M	108	15554824	0.7	0.6	0.8	0.1	7.50%
Total	45-54 years	45-54			164	31520221	0.5	0.4	0.6	0	11.40%
	55-64 years	55-64	Female	F	101	17976160	0.6	0.5	0.7	0.1	7.00%
	55-64 years	55-64	Male	M	163	16850306	1	0.8	1.1	0.1	11.40%
Total	55-64 years	55-64			264	34826466	0.8	0.7	0.8	0	18.40%
	65-74 years	65-74	Female	F	120	13837229	0.9	0.7	1	0.1	8.40%
	65-74 years	65-74	Male	M	175	12261143	1.4	1.2	1.6	0.1	12.20%
Total	65-74 years	65-74			295	26098372	1.1	1	1.3	0.1	20.60%
	75-84 years	75-84	Female	F	122	7491809	1.6	1.3	1.9	0.1	8.50%
	75-84 years	75-84	Male	M	164	5872349	2.8	2.4	3.2	0.2	11.40%
Total	75-84 years	75-84			286	13364158	2.1	1.9	2.4	0.1	20.00%
	85+ years	85+	Female	F	77	3703506	2.1	1.6	2.6	0.2	5.40%
	85+ years	85+	Male	M	72	2027447	3.6	2.8	4.5	0.4	5.00%
Total	85+ years	85+			149	5730953	2.6	2.2	3	0.2	10.40%
Total					1433	172979605	0.8	0.8	0.9	0	100.00%
---											
"Dataset: Underlying Cause of Death, 1999-2020"											
Query Parameters:											
Title: ENDO_2018_ALLRACES											
Hispanic Origin: Not Hispanic or Latino											
"ICD-10 Codes: I33.0 (Acute and subacute infective endocarditis); I33.9 (Acute endocarditis, unspecified)"											
Race: Black or African American; White											
Ten-Year Age Groups: 25-34 years; 35-44 years; 45-54 years; 55-64 years; 65-74 years; 75-84 years; 85+ years											
Year/Month: 2018											
Group By: Ten-Year Age Groups; Gender											
Show Totals: True											
Show Zero Values: True											
Show Suppressed: True											
"Calculate Rates Per: 100,000"											
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)											
---											
Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information.											
---											
"Query Date: Mar 21, 2023 2:37:45 PM"											
---											
