Risk_factor,TMRED_LB,TMRED_UB,TMRED,SD,Unit,Source
added_sugar,NA,NA,NA,NA,NA,NA
dairy,360,500,430,43,grams/day,GBD 2019
fruit_exc_juice,310,340,325,32.5,grams/day,GBD 2019
fruit_juice,NA,NA,NA,NA,NA,NA
gr_refined,NA,NA,NA,NA,NA,NA
gr_whole,140,160,150,15,grams/day,GBD 2019
oil,NA,NA,NA,NA,NA,NA
pf_egg,NA,NA,NA,NA,NA,NA
pf_leg,NA,NA,NA,NA,NA,NA
pf_ns,10,19,14.5,1.45,grams/day,GBD 2019
pf_pm,0,0,0,0,grams/day,GBD 2019
pf_poultry,NA,NA,NA,NA,NA,NA
pf_redm,0,0,0,0,grams/day,GBD 2019
pf_seafood,NA,NA,50,5,grams/day,"Micha et al. 2017, eTable 3"
pf_soy,NA,NA,NA,NA,NA,NA
sat_fat,NA,NA,NA,NA,NA,NA
veg_dg,NA,NA,NA,NA,NA,NA
veg_leg,NA,NA,NA,NA,NA,NA
veg_oth,NA,NA,NA,NA,NA,NA
veg_ro,NA,NA,NA,NA,NA,NA
veg_sta,NA,NA,NA,NA,NA,NA
veg_exc_sta,280,320,300,30,grams/day,GBD 2019
leg_tot,90,100,95,9.5,grams/day,GBD 2019
ssb,0,0,0,0,grams/day,GBD 2019
sea_omega3_fa,430,470,450,45,mg/day,GBD 2019
sodium,NA,NA,2000,200,mg/day,"Micha et al. 2017, eTable 3"
fiber,21,22,21.5,2.15,grams/day,GBD 2019
pufa_rep_carb,7,9,8,0.8,%E/day,GBD 2019
pufa_rep_sfa,7,9,8,0.8,%E/day,GBD 2019
pufa_rep_carbsfa,7,9,8,0.8,%E/day,GBD 2019
