Sex_label,food,mean,se
Female,added_sugar,15.907691714553398,Inf
Male,added_sugar,14.324498969899379,Inf
Female,added_sugar_1,16.255918977062294,Inf
Male,added_sugar_1,14.612582163323394,Inf
Female,added_sugar_2,NA,NA
Male,added_sugar_2,NA,NA
Female,afs_tot,122.37950295772754,Inf
Male,afs_tot,111.21544501863924,Inf
Female,afs_tot_1,123.79172601917502,Inf
Male,afs_tot_1,112.38265760738841,Inf
Female,afs_tot_2,NA,NA
Male,afs_tot_2,NA,NA
Female,dairy_cow,1.3740582197481592,Inf
Male,dairy_cow,1.3784778519711727,Inf
Female,dairy_cow_1,NA,NA
Male,dairy_cow_1,1.3711376679989955,Inf
Female,dairy_cow_2,NA,NA
Male,dairy_cow_2,NA,NA
Female,dairy_soy,0.008160638326510934,Inf
Male,dairy_soy,0.010366064862658852,Inf
Female,dairy_soy_1,NA,NA
Male,dairy_soy_1,0.007879670507910745,Inf
Female,dairy_soy_2,NA,NA
Male,dairy_soy_2,NA,NA
Female,dairy_tot,1.382701458444222,Inf
Male,dairy_tot,1.388267103941285,Inf
Female,dairy_tot_1,1.375022817914336,Inf
Male,dairy_tot_1,1.3784460142456214,Inf
Female,dairy_tot_2,NA,NA
Male,dairy_tot_2,NA,NA
Female,fiber,17.615084065392423,Inf
Male,fiber,16.172300204355476,Inf
Female,fiber_1,17.380869788899368,Inf
Male,fiber_1,15.742895549550793,Inf
Female,fiber_2,NA,NA
Male,fiber_2,NA,NA
Female,fruit_exc_juice,0.7186353126440489,Inf
Male,fruit_exc_juice,0.6886782883134404,Inf
Female,fruit_exc_juice_1,0.7092797317250039,Inf
Male,fruit_exc_juice_1,0.6597308596425145,Inf
Female,fruit_exc_juice_2,NA,NA
Male,fruit_exc_juice_2,NA,NA
Female,fruit_exc_juice_grams,109.23256752189543,Inf
Male,fruit_exc_juice_grams,104.67909982364293,Inf
Female,fruit_juice,0.18995566342083411,Inf
Male,fruit_juice,0.23355365337779546,Inf
Female,fruit_juice_1,0.18771266529015904,Inf
Male,fruit_juice_1,0.237022499125085,Inf
Female,fruit_juice_2,NA,NA
Male,fruit_juice_2,NA,NA
Female,fruit_juice_grams,47.678871518629364,Inf
Male,fruit_juice_grams,58.62196699782666,Inf
Female,fruit_tot,0.9117021891542479,Inf
Male,fruit_tot,0.9198006734061238,Inf
Female,fruit_tot_1,0.8995711047765759,Inf
Male,fruit_tot_1,0.8939636662384292,Inf
Female,fruit_tot_2,NA,NA
Male,fruit_tot_2,NA,NA
Female,fruit_tot_grams,156.91143904052478,Inf
Male,fruit_tot_grams,163.3010668214696,Inf
Female,gr_refined,5.243893660337174,Inf
Male,gr_refined,5.258595158818083,Inf
Female,gr_refined_1,5.238776871762388,Inf
Male,gr_refined_1,5.280530173760039,Inf
Female,gr_refined_2,NA,NA
Male,gr_refined_2,NA,NA
Female,gr_refined_grams,188.78017177213826,Inf
Male,gr_refined_grams,189.30942571745098,Inf
Female,gr_tot,6.162679263356637,Inf
Male,gr_tot,6.15781194622635,Inf
Female,gr_tot_1,6.119124473698911,Inf
Male,gr_tot_1,6.153644174907745,Inf
Female,gr_tot_2,NA,NA
Male,gr_tot_2,NA,NA
Female,gr_tot_grams,232.57408892915478,Inf
Male,gr_tot_grams,236.1414416195138,Inf
Female,gr_whole,0.8587042579807164,Inf
Male,gr_whole,0.9182748216090754,Inf
Female,gr_whole_1,0.83107986869939,Inf
Male,gr_whole_1,0.897822455384349,Inf
Female,gr_whole_2,NA,NA
