"Race and origin recode (NHW, NHB, NHO, Hispanic)"	"Sex"	"Age recode 10yr"	"stomach"	"Crude Rate"	"Standard Error"	"Lower Confidence Interval"	"Upper Confidence Interval"	"Count"	"Population"
"Non-Hispanic White"	"Male and female"	"25-34 years"	"C16.0-Cardia, NOS"	0.17	0.05	0.08	0.32	10	5800816
"Non-Hispanic White"	"Male and female"	"25-34 years"	"C16.1-6noncardia"	0.17	0.05	0.08	0.32	10	5800816
"Non-Hispanic White"	"Male and female"	"35-44 years"	"C16.0-Cardia, NOS"	0.64	0.11	0.44	0.89	34	5344399
"Non-Hispanic White"	"Male and female"	"35-44 years"	"C16.1-6noncardia"	0.90	0.13	0.66	1.19	48	5344399
"Non-Hispanic White"	"Male and female"	"45-54 years"	"C16.0-Cardia, NOS"	1.95	0.18	1.60	2.34	114	5859292
"Non-Hispanic White"	"Male and female"	"45-54 years"	"C16.1-6noncardia"	1.95	0.18	1.60	2.34	114	5859292
"Non-Hispanic White"	"Male and female"	"55-64 years"	"C16.0-Cardia, NOS"	5.25	0.28	4.71	5.83	348	6633946
"Non-Hispanic White"	"Male and female"	"55-64 years"	"C16.1-6noncardia"	3.48	0.23	3.05	3.96	231	6633946
"Non-Hispanic White"	"Male and female"	"65-74 years"	"C16.0-Cardia, NOS"	9.80	0.44	8.96	10.71	495	5048890
"Non-Hispanic White"	"Male and female"	"65-74 years"	"C16.1-6noncardia"	7.72	0.39	6.98	8.53	390	5048890
"Non-Hispanic White"	"Male and female"	"75+ years"	"C16.0-Cardia, NOS"	3.25	0.09	3.08	3.42	1446	44535467
"Non-Hispanic White"	"Male and female"	"75+ years"	"C16.1-6noncardia"	2.94	0.08	2.78	3.10	1309	44535467
"Non-Hispanic White"	"Male"	"25-34 years"	"C16.0-Cardia, NOS"	0.20	0.08	0.07	0.44	6	2973485
"Non-Hispanic White"	"Male"	"25-34 years"	"C16.1-6noncardia"	0.10	0.06	0.02	0.29	3	2973485
