risk_factor,outcome,outcome_label,Age,Age_label,RR_unit,logRR,logRR_se
fruit,HSTK,Hemorrhagic stroke,1,20-34,100g/d,-0.46634830110801,0.131250128214607
fruit,HSTK,Hemorrhagic stroke,2,35-44,100g/d,-0.447276980338974,0.125882652252518
fruit,HSTK,Hemorrhagic stroke,3,45-54,100g/d,-0.379438875296577,0.106790141432825
fruit,HSTK,Hemorrhagic stroke,4,55-64,100g/d,-0.314412414007852,0.0884889460361448
fruit,HSTK,Hemorrhagic stroke,5,65-74,100g/d,-0.26078870125097797,0.0733969661619586
fruit,HSTK,Hemorrhagic stroke,6,75+,100g/d,-0.149732669987616,0.0360329969483038
fruit,IHD,Ischemic heart disease,1,20-34,100g/d,-0.093566754668598,0.0280632717301771
fruit,IHD,Ischemic heart disease,2,35-44,100g/d,-0.0897403408329244,0.0269156238118224
fruit,IHD,Ischemic heart disease,3,45-54,100g/d,-0.076129502503282,0.0228333548919145
fruit,IHD,Ischemic heart disease,4,55-64,100g/d,-0.0630827841258089,0.0189202812333173
fruit,IHD,Ischemic heart disease,5,65-74,100g/d,-0.0523238797532169,0.0156933866167792
fruit,IHD,Ischemic heart disease,6,75+,100g/d,-0.0301348578940046,0.00778377579709192
fruit,ISTK,Ischemic stroke,1,20-34,100g/d,-0.190831373711564,0.0426844669625658
fruit,ISTK,Ischemic stroke,2,35-44,100g/d,-0.183027321821159,0.0409388850458646
fruit,ISTK,Ischemic stroke,3,45-54,100g/d,-0.155267729378189,0.0347297204652166
fruit,ISTK,Ischemic stroke,4,55-64,100g/d,-0.128658671500533,0.0287779032676918
fruit,ISTK,Ischemic stroke,5,65-74,100g/d,-0.106715658639555,0.0238697700330629
fruit,ISTK,Ischemic stroke,6,75+,100g/d,-0.061073688696324,0.0119107936777688
fruit,OSTK,unidentified stroke,1,20-34,100g/d,-0.37406990437235826,0.08845370657895624
fruit,OSTK,unidentified stroke,2,35-44,100g/d,-0.38803859535256274,0.09809306869586706
