outcome,outcome_label,risk_factor,Age,Age_label,RR_unit,logRR,logRR_se
IHD,Ischemic heart disease,fruit,1,25-34,100g/d,-0.087935232,0.027152855
IHD,Ischemic heart disease,fruit,2,35-44,100g/d,-0.084339119,0.026042439
IHD,Ischemic heart disease,fruit,3,45-54,100g/d,-0.07154748,0.022092605
IHD,Ischemic heart disease,fruit,4,55-64,100g/d,-0.059286007,0.018306478
IHD,Ischemic heart disease,fruit,5,65-74,100g/d,-0.049174651,0.015184269
IHD,Ischemic heart disease,fruit,6,75+,100g/d,-0.028323567,0.007531258
ISTK,Ischemic stroke,fruit,1,25-34,100g/d,-0.190831374,0.042684467
ISTK,Ischemic stroke,fruit,2,35-44,100g/d,-0.183027322,0.040938885
ISTK,Ischemic stroke,fruit,3,45-54,100g/d,-0.155267729,0.03472972
ISTK,Ischemic stroke,fruit,4,55-64,100g/d,-0.128658672,0.028777903
ISTK,Ischemic stroke,fruit,5,65-74,100g/d,-0.106715659,0.02386977
ISTK,Ischemic stroke,fruit,6,75+,100g/d,-0.061073689,0.011910794
HSTK,Hemorrhagic stroke,fruit,1,25-34,100g/d,-0.466348301,0.131250128
HSTK,Hemorrhagic stroke,fruit,2,35-44,100g/d,-0.44727698,0.125882652
HSTK,Hemorrhagic stroke,fruit,3,45-54,100g/d,-0.379438875,0.106790141
HSTK,Hemorrhagic stroke,fruit,4,55-64,100g/d,-0.314412414,0.088488946
HSTK,Hemorrhagic stroke,fruit,5,65-74,100g/d,-0.260788701,0.073396966
HSTK,Hemorrhagic stroke,fruit,6,75+,100g/d,-0.14973267,0.036032997
IHD,Ischemic heart disease,fruit_exc_juice,1,25-34,100g/d,-0.087935232,0.027152855
IHD,Ischemic heart disease,fruit_exc_juice,2,35-44,100g/d,-0.084339119,0.026042439
IHD,Ischemic heart disease,fruit_exc_juice,3,45-54,100g/d,-0.07154748,0.022092605
IHD,Ischemic heart disease,fruit_exc_juice,4,55-64,100g/d,-0.059286007,0.018306478
IHD,Ischemic heart disease,fruit_exc_juice,5,65-74,100g/d,-0.049174651,0.015184269
IHD,Ischemic heart disease,fruit_exc_juice,6,75+,100g/d,-0.028323567,0.007531258
ISTK,Ischemic stroke,fruit_exc_juice,1,25-34,100g/d,-0.190831374,0.042684467
ISTK,Ischemic stroke,fruit_exc_juice,2,35-44,100g/d,-0.183027322,0.040938885
ISTK,Ischemic stroke,fruit_exc_juice,3,45-54,100g/d,-0.155267729,0.03472972
ISTK,Ischemic stroke,fruit_exc_juice,4,55-64,100g/d,-0.128658672,0.028777903
ISTK,Ischemic stroke,fruit_exc_juice,5,65-74,100g/d,-0.106715659,0.02386977
