"Notes"	"Gender"	"Gender Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	78	8593648	0.91	0.72	1.13	0.10
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	5	8593648	Unreliable	0.02	0.14	0.03
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Hypertensive heart disease (I11)"	"GR113-056"	18	8593648	Unreliable	0.12	0.33	0.05
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	4	8593648	Unreliable	0.01	0.12	0.02
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	58	8593648	0.67	0.51	0.87	0.09
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	30	8593648	0.35	0.24	0.50	0.06
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	0	8593648	Unreliable	0.00	0.00	0.00
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	28	8593648	0.33	0.22	0.47	0.06
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Acute and subacute endocarditis (I33)"	"GR113-065"	4	8593648	Unreliable	0.01	0.12	0.02
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	5	8593648	Unreliable	0.02	0.14	0.03
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Heart failure (I50)"	"GR113-067"	14	8593648	Unreliable	0.09	0.27	0.04
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	137	8593648	1.59	1.33	1.86	0.14
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	13	8593648	Unreliable	0.08	0.26	0.04
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	80	8593648	0.93	0.74	1.16	0.10
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"#Atherosclerosis (I70)"	"GR113-071"	0	8593648	Unreliable	0.00	0.00	0.00
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	7	8593648	Unreliable	0.03	0.17	0.03
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	10	8593648	Unreliable	0.06	0.21	0.04
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	9	8593648	Unreliable	0.05	0.20	0.03
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	178	8024040	2.22	1.89	2.54	0.17
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	7	8024040	Unreliable	0.04	0.18	0.03
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"Hypertensive heart disease (I11)"	"GR113-056"	70	8024040	0.87	0.68	1.10	0.10
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	6	8024040	Unreliable	0.03	0.16	0.03
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	227	8024040	2.83	2.46	3.20	0.19
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	94	8024040	1.17	0.95	1.43	0.12
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	3	8024040	Unreliable	0.01	0.11	0.02
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	130	8024040	1.62	1.34	1.90	0.14
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"Acute and subacute endocarditis (I33)"	"GR113-065"	6	8024040	Unreliable	0.03	0.16	0.03
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	8	8024040	Unreliable	0.04	0.20	0.04
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"Heart failure (I50)"	"GR113-067"	15	8024040	Unreliable	0.10	0.31	0.05
