RF,subgroup,Age,Sex,Race,IHD,IHDse,ISTK,ISTKse,HHD,HHDse,DIABMED,DIABMEDse,DIABDIR,DIABDIRse,,,,,,,,,,,,,,,,,,gender
BMI,1,1,1,1,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,1.70675974,0.42760373,,,,,,,,,,,,,,,,,,F
BMI,2,1,1,2,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,1.70675974,0.42760373,,,,,,,,,,,,,,,,,,F
BMI,3,1,1,3,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,1.70675974,0.42760373,,,,,,,,,,,,,,,,,,F
BMI,4,1,1,4,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,1.70675974,0.42760373,,,,,,,,,,,,,,,,,,F
BMI,5,1,2,1,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,1.70675974,0.42760373,,,,,,,,,,,,,,,,,,F
BMI,6,1,2,2,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,1.70675974,0.42760373,,,,,,,,,,,,,,,,,,F
BMI,7,1,2,3,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,1.70675974,0.42760373,,,,,,,,,,,,,,,,,,F
BMI,8,1,2,4,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,1.70675974,0.42760373,,,,,,,,,,,,,,,,,,M
BMI,9,2,1,1,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,1.636961775,0.41011687,,,,,,,,,,,,,,,,,,M
BMI,10,2,1,2,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,1.636961775,0.41011687,,,,,,,,,,,,,,,,,,M
BMI,11,2,1,3,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,1.636961775,0.41011687,,,,,,,,,,,,,,,,,,M
BMI,12,2,1,4,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,1.636961775,0.41011687,,,,,,,,,,,,,,,,,,M
BMI,13,2,2,1,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,1.636961775,0.41011687,,,,,,,,,,,,,,,,,,M
BMI,14,2,2,2,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,1.636961775,0.41011687,,,,,,,,,,,,,,,,,,M
BMI,15,2,2,3,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,1.636961775,0.41011687,,,,,,,,,,,,,,,,,,
BMI,16,2,2,4,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,1.636961775,0.41011687,,,,,,,,,,,,,,,,,,
BMI,17,3,1,1,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,1.388685225,0.347914805,,,,,,,,,,,,,,,,,,
BMI,18,3,1,2,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,1.388685225,0.347914805,,,,,,,,,,,,,,,,,,
BMI,19,3,1,3,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,1.388685225,0.347914805,,,,,,,,,,,,,,,,,,
BMI,20,3,1,4,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,1.388685225,0.347914805,,,,,,,,,,,,,,,,,,
BMI,21,3,2,1,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,1.388685225,0.347914805,,,,,,,,,,,,,,,,,,
BMI,22,3,2,2,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,1.388685225,0.347914805,,,,,,,,,,,,,,,,,,
BMI,23,3,2,3,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,1.388685225,0.347914805,,,,,,,,,,,,,,,,,,
BMI,24,3,2,4,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,1.388685225,0.347914805,,,,,,,,,,,,,,,,,,
BMI,25,4,1,1,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,1.15069884,0.28829079,,,,,,,,,,,,,,,,,,
BMI,26,4,1,2,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,1.15069884,0.28829079,,,,,,,,,,,,,,,,,,
BMI,27,4,1,3,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,1.15069884,0.28829079,,,,,,,,,,,,,,,,,,
BMI,28,4,1,4,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,1.15069884,0.28829079,,,,,,,,,,,,,,,,,,
