risk_factor,subgroup,ALL,Larynx,LC,MC,MLPC,SCNC,ECA,SCC,LVC,PC,CC,UC,OC,GC,KC,BC,TC,MMC,APCA,ECAse,SCCse,LVCse,PCse,CCse,UCse,OCse,GCse,KCse,BCse,TCse,MMCse,APCAse,ALLse,Larynxse,LCse,MCse,MLPCse,SCNCse
BMI,1,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,2,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,3,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,4,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,5,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,6,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,7,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,8,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,9,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,10,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,11,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,12,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,13,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,14,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,15,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,16,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
